TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTract,CensusBlock,CountyName,Date,Time,Hour
ML19013839,40.76297,-73.97188,10022,P,09/09/2019 08:50 PM,112.02,1001,New York County,09/09/2019,08:50 PM,08 PM
ML19013954,40.75658,-73.98614,10036,P,09/11/2019 06:13 PM,119,1004,New York County,09/11/2019,06:13 PM,06 PM
ML19014071,40.74166,-74.00113,10011,M,09/13/2019 05:52 PM,81,2001,New York County,09/13/2019,05:52 PM,05 PM
ML19014455,40.7238,-73.98564,10009,M,09/19/2019 03:12 PM,32,4000,New York County,09/19/2019,03:12 PM,03 PM
ML19015054,40.76061,-73.96434,10022,P,09/30/2019 06:05 PM,110,3002,New York County,09/30/2019,06:05 PM,06 PM
ML19015932,40.76709,-73.96662,10065,P,10/14/2019 07:09 PM,120,3000,New York County,10/14/2019,07:09 PM,07 PM
ML19016313,40.76059,-73.96938,10022,P,10/20/2019 03:37 PM,112.03,2002,New York County,10/20/2019,03:37 PM,03 PM
ML19016353,40.77316,-73.9819,10023,P,10/21/2019 11:06 AM,149,2000,New York County,10/21/2019,11:06 AM,11 AM
ML19016580,40.76931,-73.96363,10021,P,10/24/2019 10:59 AM,120,4001,New York County,10/24/2019,10:59 AM,10 AM
ML19016698,40.7623,-73.97236,10022,P,10/25/2019 08:39 PM,112.02,1002,New York County,10/25/2019,08:39 PM,08 PM
ML19016971,40.82015,-73.94952,10031,M,10/30/2019 10:25 AM,217.03,1004,New York County,10/30/2019,10:25 AM,10 AM
ML19017160,40.70933,-74.00187,10038,P,11/02/2019 10:05 AM,15.01,3002,New York County,11/02/2019,10:05 AM,10 AM
ML19017533,40.73597,-73.99567,10011,M,11/07/2019 12:54 PM,63,1000,New York County,11/07/2019,12:54 PM,12 PM
ML19017625,40.751,-73.98778,10018,M,11/08/2019 02:36 PM,109,1007,New York County,11/08/2019,02:36 PM,02 PM
ML19017662,40.71472,-73.99198,10002,M,11/09/2019 09:40 AM,16,5006,New York County,11/09/2019,09:40 AM,09 AM
ML19017863,40.74612,-73.97993,10016,P,11/12/2019 08:27 PM,72,2000,New York County,11/12/2019,08:27 PM,08 PM
