TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTract,CensusBlock,CountyName,Date,Time,Hour
WL19013950,40.97937,-73.67842,10580,M,11/21/2019 11:58 PM,76,6001,Westchester County,11/21/2019,11:58 PM,11 PM
WL19013973,40.91051,-73.8876,10705,M,11/22/2019 10:52 AM,13.02,3000,Westchester County,11/22/2019,10:52 AM,10 AM
WL19014004,41.01666,-73.6852,10573,M,11/23/2019 10:44 AM,83.02,4007,Westchester County,11/23/2019,10:44 AM,10 AM
WL19014022,41.20945,-73.73165,10549,M,11/23/2019 05:19 PM,130,4026,Westchester County,11/23/2019,05:19 PM,05 PM
WL19014155,41.07208,-73.8589,10591,M,11/25/2019 03:14 PM,114.01,4018,Westchester County,11/25/2019,03:14 PM,03 PM
WL19014157,40.91388,-73.87859,10705,M,11/25/2019 03:28 PM,14.02,2005,Westchester County,11/25/2019,03:28 PM,03 PM
WL19014191,40.94996,-73.84873,10710,M,11/26/2019 07:55 AM,22.03,2004,Westchester County,11/26/2019,07:55 AM,07 AM
WL19014202,41.13303,-73.83628,10510,M,11/26/2019 10:18 AM,132.01,2036,Westchester County,11/26/2019,10:18 AM,10 AM
WL19014203,41.18998,-73.87127,10562,M,11/26/2019 10:19 AM,137,1000,Westchester County,11/26/2019,10:19 AM,10 AM
WL19014222,40.93555,-73.79224,10804,M,11/26/2019 12:58 PM,67,3043,Westchester County,11/26/2019,12:58 PM,12 PM
WL19014235,41.00196,-73.87563,10706,M,11/26/2019 03:07 PM,102,1006,Westchester County,11/26/2019,03:07 PM,03 PM
WL19014309,40.97699,-73.77547,10583,M,11/28/2019 11:12 AM,68.01,2003,Westchester County,11/28/2019,11:12 AM,11 AM
WL19014447,40.96816,-73.80989,10709,M,12/03/2019 08:31 AM,50.02,2011,Westchester County,12/03/2019,08:31 AM,08 AM
WL19014479,40.99915,-73.88165,10706,M,12/03/2019 05:07 PM,103,1004,Westchester County,12/03/2019,05:07 PM,05 PM
WL19014493,40.9707,-73.78125,10804,M,12/04/2019 09:10 AM,68.01,3009,Westchester County,12/04/2019,09:10 AM,09 AM
WL19014498,40.94871,-73.69171,10580,M,12/04/2019 10:28 AM,76,2005,Westchester County,12/04/2019,10:28 AM,10 AM
WL19014500,40.97328,-73.72162,10528,M,12/04/2019 10:51 AM,84.03,1010,Westchester County,12/04/2019,10:51 AM,10 AM
WL19014504,41.00721,-73.87922,10522,P,12/04/2019 11:37 AM,104,3010,Westchester County,12/04/2019,11:37 AM,11 AM
WL19014544,40.98336,-73.72174,10528,M,12/04/2019 10:08 PM,85,1033,Westchester County,12/04/2019,10:08 PM,10 PM
WL19014549,40.90574,-73.79281,10801,M,12/05/2019 08:40 AM,61,3000,Westchester County,12/05/2019,08:40 AM,08 AM
WL19014551,41.12853,-73.70273,10504,M,12/05/2019 09:04 AM,123.03,1007,Westchester County,12/05/2019,09:04 AM,09 AM
WL19014570,40.97414,-73.8356,10710,P,12/05/2019 01:18 PM,21.01,3008,Westchester County,12/05/2019,01:18 PM,01 PM
WL19014571,40.94811,-73.77764,10804,M,12/05/2019 01:49 PM,67,1008,Westchester County,12/05/2019,01:49 PM,01 PM
WL19014586,41.3222,-73.77897,10598,P,12/06/2019 07:10 AM,148.11,4005,Westchester County,12/06/2019,07:10 AM,07 AM
WL19014611,40.99713,-73.88283,10706,M,12/06/2019 11:33 AM,103,1004,Westchester County,12/06/2019,11:33 AM,11 AM
WL19014613,41.02965,-73.78623,10606,P,12/06/2019 12:02 PM,91,2008,Westchester County,12/06/2019,12:02 PM,12 PM
WL19014614,40.94466,-73.8804,10701,M,12/06/2019 12:03 PM,16,4011,Westchester County,12/06/2019,12:03 PM,12 PM
WL19014623,40.93583,-73.79234,10804,M,12/06/2019 02:06 PM,67,3043,Westchester County,12/06/2019,02:06 PM,02 PM
WL19014631,40.9607,-73.68753,10580,P,12/06/2019 03:42 PM,76,3007,Westchester County,12/06/2019,03:42 PM,03 PM
WL19014643,41.00759,-73.87917,10522,M,12/07/2019 01:08 AM,104,3010,Westchester County,12/07/2019,01:08 AM,01 AM
WL19014644,40.92131,-73.78979,10801,M,12/07/2019 02:23 AM,64,1006,Westchester County,12/07/2019,02:23 AM,02 AM
WL19014656,41.0644,-73.76751,10603,P,12/07/2019 11:02 AM,123.01,1025,Westchester County,12/07/2019,11:02 AM,11 AM
XL18005966,40.81532,-73.9306,10451,M,05/14/2018 08:33 PM,63.01,2036,Bronx County,05/14/2018,08:33 PM,08 PM
XL19004681,40.91124,-73.9063,10471,M,04/10/2019 01:59 PM,319,1006,Bronx County,04/10/2019,01:59 PM,01 PM
XL19007996,40.81922,-73.90442,10456,M,06/23/2019 10:03 AM,77,1006,Bronx County,06/23/2019,10:03 AM,10 AM
XL19009240,40.88379,-73.85306,10466,M,07/20/2019 10:18 AM,398,3001,Bronx County,07/20/2019,10:18 AM,10 AM
XL19011962,40.82997,-73.86012,10472,P,09/16/2019 01:48 PM,72,1003,Bronx County,09/16/2019,01:48 PM,01 PM
XL19012109,40.8114,-73.90679,10455,M,09/19/2019 10:57 AM,35,3000,Bronx County,09/19/2019,10:57 AM,10 AM
XL19013105,40.82766,-73.92604,10451,P,10/10/2019 11:45 AM,63.02,1004,Bronx County,10/10/2019,11:45 AM,11 AM
XL19013278,40.81713,-73.90507,10455,M,10/14/2019 01:07 PM,79,1004,Bronx County,10/14/2019,01:07 PM,01 PM
QL19008987,40.75049,-73.79308,11358,P,11/26/2019 02:38 PM,1417,1000,Queens County,11/26/2019,02:38 PM,02 PM
QL19009072,40.75049,-73.79308,11358,P,11/30/2019 10:40 AM,1417,1000,Queens County,11/30/2019,10:40 AM,10 AM
XL19013544,40.86897,-73.89477,10468,M,10/20/2019 10:08 AM,403.03,3001,Bronx County,10/20/2019,10:08 AM,10 AM
XL19014233,40.86115,-73.897,10458,M,11/03/2019 09:25 AM,237.02,1001,Bronx County,11/03/2019,09:25 AM,09 AM
XL19014574,40.82747,-73.92616,10451,M,11/11/2019 09:03 AM,63.02,1004,Bronx County,11/11/2019,09:03 AM,09 AM
XL19014737,40.88971,-73.90279,10471,M,11/14/2019 01:23 PM,351,1000,Bronx County,11/14/2019,01:23 PM,01 PM
XL19014738,40.82863,-73.91141,10456,M,11/14/2019 01:30 PM,143,1006,Bronx County,11/14/2019,01:30 PM,01 PM
XL19014924,40.87637,-73.82428,10475,M,11/18/2019 10:49 AM,462.03,4000,Bronx County,11/18/2019,10:49 AM,10 AM
XL19014937,40.85847,-73.8525,10469,M,11/18/2019 01:56 PM,318,2008,Bronx County,11/18/2019,01:56 PM,01 PM
XL19015393,40.83763,-73.85384,10462,M,11/26/2019 10:08 AM,222,1003,Bronx County,11/26/2019,10:08 AM,10 AM
XL19015764,40.85045,-73.7844,10464,M,12/05/2019 11:04 AM,516.01,1016,Bronx County,12/05/2019,11:04 AM,11 AM
XL19015808,40.85629,-73.89372,10458,P,12/06/2019 11:07 AM,385,2001,Bronx County,12/06/2019,11:07 AM,11 AM
XL19015830,40.87243,-73.89894,10468,M,12/06/2019 02:31 PM,267.02,1001,Bronx County,12/06/2019,02:31 PM,02 PM
XL19015874,40.82285,-73.87933,10473,P,12/07/2019 12:24 PM,28,1010,Bronx County,12/07/2019,12:24 PM,12 PM
XL19015893,40.88796,-73.90938,10463,P,12/07/2019 11:02 PM,297,1005,Bronx County,12/07/2019,11:02 PM,11 PM
ML19007215,40.74306,-73.9842,10016,P,05/09/2019 08:43 AM,68,1000,New York County,05/09/2019,08:43 AM,08 AM
ML19018780,40.73065,-73.98306,10009,P,11/27/2019 10:06 AM,34,4001,New York County,11/27/2019,10:06 AM,10 AM
ML19019323,40.72398,-73.98605,10009,M,12/08/2019 09:32 AM,32,4000,New York County,12/08/2019,09:32 AM,09 AM
ML19019325,40.71639,-73.9948,10002,P,12/08/2019 10:05 AM,16,1002,New York County,12/08/2019,10:05 AM,10 AM
ML19019328,40.72216,-74.01168,10013,M,12/08/2019 12:21 PM,39,2000,New York County,12/08/2019,12:21 PM,12 PM
ML19019360,40.71669,-73.9863,10002,P,12/09/2019 12:26 AM,14.02,2006,New York County,12/09/2019,12:26 AM,12 AM
ML19019364,40.72256,-74.00142,10013,P,12/09/2019 08:52 AM,47,2010,New York County,12/09/2019,08:52 AM,08 AM
ML19019382,40.7781,-73.94555,10128,M,12/09/2019 02:57 PM,152,5000,New York County,12/09/2019,02:57 PM,02 PM
ML19019440,40.74263,-74.00043,10011,P,12/10/2019 03:58 PM,89,2001,New York County,12/10/2019,03:58 PM,03 PM
QL19009326,40.73931,-73.78566,11365,M,12/08/2019 10:32 AM,1347.01,1002,Queens County,12/08/2019,10:32 AM,10 AM
QL19009332,40.73488,-73.74941,11427,P,12/08/2019 07:55 PM,1291.02,4005,Queens County,12/08/2019,07:55 PM,07 PM
QL19009334,40.74209,-73.77583,11365,M,12/08/2019 08:50 PM,1347.02,2001,Queens County,12/08/2019,08:50 PM,08 PM
QL19009338,40.73057,-73.72517,11426,P,12/09/2019 08:37 AM,1621,1001,Queens County,12/09/2019,08:37 AM,08 AM
WL19014689,40.98181,-73.70115,10580,M,12/08/2019 10:17 AM,77,3006,Westchester County,12/08/2019,10:17 AM,10 AM
WL19014762,41.26099,-73.77553,10598,M,12/10/2019 01:13 PM,148.09,4043,Westchester County,12/10/2019,01:13 PM,01 PM
XL19015908,40.84474,-73.90759,10457,M,12/08/2019 10:11 AM,229.02,1000,Bronx County,12/08/2019,10:11 AM,10 AM
XL19015986,40.83082,-73.8172,10465,P,12/10/2019 09:01 AM,160,1009,Bronx County,12/10/2019,09:01 AM,09 AM
XL19015991,40.8192,-73.89576,10459,M,12/10/2019 10:07 AM,87,2002,Bronx County,12/10/2019,10:07 AM,10 AM
XL19016000,40.80867,-73.85194,10473,M,12/10/2019 12:05 PM,4,3002,Bronx County,12/10/2019,12:05 PM,12 PM
ML19018545,40.85471,-73.92798,10040,P,11/23/2019 01:45 PM,277,3001,New York County,11/23/2019,01:45 PM,01 PM
ML19019473,40.7435,-74.00185,10011,M,12/11/2019 11:54 AM,89,2001,New York County,12/11/2019,11:54 AM,11 AM
ML19019474,40.74613,-73.99788,10001,M,12/11/2019 11:55 AM,93,1002,New York County,12/11/2019,11:55 AM,11 AM
ML19019504,40.78855,-73.94898,10029,M,12/11/2019 08:26 PM,166,6000,New York County,12/11/2019,08:26 PM,08 PM
QL19009422,40.74645,-73.82433,11355,P,12/11/2019 11:22 AM,799,1005,Queens County,12/11/2019,11:22 AM,11 AM
WL19014785,40.97056,-73.78154,10804,M,12/11/2019 09:49 AM,68.01,3011,Westchester County,12/11/2019,09:49 AM,09 AM
WL19014798,41.22299,-73.71501,10507,M,12/11/2019 12:00 PM,128.04,1027,Westchester County,12/11/2019,12:00 PM,12 PM
WL19014811,40.94234,-73.75574,10538,M,12/11/2019 04:20 PM,69,3036,Westchester County,12/11/2019,04:20 PM,04 PM
ML19019523,40.73712,-74.00575,10014,P,12/12/2019 09:56 AM,77,3007,New York County,12/12/2019,09:56 AM,09 AM
ML19019532,40.7238,-73.98564,10009,M,12/12/2019 11:32 AM,32,4000,New York County,12/12/2019,11:32 AM,11 AM
ML19019555,40.75341,-73.99632,10001,M,12/12/2019 10:33 PM,111,2005,New York County,12/12/2019,10:33 PM,10 PM
QL19009497,40.78775,-73.78822,11360,P,12/12/2019 09:14 PM,997.05,1020,Queens County,12/12/2019,09:14 PM,09 PM
WL19014826,41.06227,-73.8088,10523,M,12/12/2019 09:05 AM,110,1016,Westchester County,12/12/2019,09:05 AM,09 AM
WL19014837,41.15879,-73.77559,10514,M,12/12/2019 12:03 PM,131.04,4017,Westchester County,12/12/2019,12:03 PM,12 PM
WL19014844,41.18579,-73.73719,10549,M,12/12/2019 01:48 PM,131.02,4001,Westchester County,12/12/2019,01:48 PM,01 PM
WL19014851,40.91237,-73.84387,10550,P,12/12/2019 05:01 PM,36,2008,Westchester County,12/12/2019,05:01 PM,05 PM
WL19014853,40.99958,-73.7466,10605,M,12/12/2019 05:19 PM,97.03,3020,Westchester County,12/12/2019,05:19 PM,05 PM
WL19014862,41.00974,-73.81111,10583,M,12/12/2019 08:43 PM,108.01,2018,Westchester County,12/12/2019,08:43 PM,08 PM
WL19014863,40.94951,-73.71333,10580,M,12/12/2019 09:53 PM,75,3026,Westchester County,12/12/2019,09:53 PM,09 PM
ML19019584,40.75009,-73.99499,10001,P,12/13/2019 01:18 PM,101,1005,New York County,12/13/2019,01:18 PM,01 PM
QL19009529,40.76987,-73.77506,11361,M,12/13/2019 05:14 PM,1097,2001,Queens County,12/13/2019,05:14 PM,05 PM
QL19009535,40.75014,-73.80746,11358,M,12/13/2019 09:44 PM,1207.01,2004,Queens County,12/13/2019,09:44 PM,09 PM
WL19014871,40.95448,-73.8207,10707,M,12/13/2019 07:46 AM,48.02,5008,Westchester County,12/13/2019,07:46 AM,07 AM
WL19014873,40.99955,-73.76225,10605,P,12/13/2019 08:25 AM,97.01,1011,Westchester County,12/13/2019,08:25 AM,08 AM
WL19014876,41.0644,-73.76751,10603,P,12/13/2019 09:02 AM,123.01,1025,Westchester County,12/13/2019,09:02 AM,09 AM
WL19014880,40.96353,-73.77774,10804,M,12/13/2019 09:28 AM,68.02,2015,Westchester County,12/13/2019,09:28 AM,09 AM
WL19014883,41.13585,-73.79028,10570,M,12/13/2019 09:53 AM,122.02,6007,Westchester County,12/13/2019,09:53 AM,09 AM
WL19014884,40.96546,-73.86791,10710,M,12/13/2019 10:23 AM,19,1008,Westchester County,12/13/2019,10:23 AM,10 AM
WL19014891,41.0609,-73.86277,10591,M,12/13/2019 11:12 AM,114.02,1005,Westchester County,12/13/2019,11:12 AM,11 AM
WL19014907,41.03845,-73.74811,10604,M,12/13/2019 01:42 PM,87,3000,Westchester County,12/13/2019,01:42 PM,01 PM
WL19014911,41.03632,-73.83689,10607,P,12/13/2019 02:00 PM,111.01,4008,Westchester County,12/13/2019,02:00 PM,02 PM
WL19014912,41.01425,-73.84056,10502,M,12/13/2019 02:12 PM,106,2004,Westchester County,12/13/2019,02:12 PM,02 PM
WL19014916,40.99618,-73.82048,10583,M,12/13/2019 04:01 PM,107.01,4014,Westchester County,12/13/2019,04:01 PM,04 PM
WL19014917,41.10571,-73.79385,10532,M,12/13/2019 04:10 PM,120,3019,Westchester County,12/13/2019,04:10 PM,04 PM
WL19014921,40.9805,-73.83082,10710,M,12/13/2019 05:02 PM,21.01,2008,Westchester County,12/13/2019,05:02 PM,05 PM
WL19014925,41.20606,-73.89231,10520,M,12/13/2019 09:06 PM,139,3005,Westchester County,12/13/2019,09:06 PM,09 PM
WL19014932,40.92857,-73.79673,10804,P,12/14/2019 03:29 AM,66,2008,Westchester County,12/14/2019,03:29 AM,03 AM
XL19016133,40.84671,-73.88547,10460,M,12/13/2019 09:23 AM,371,1002,Bronx County,12/13/2019,09:23 AM,09 AM
XL19016146,40.87875,-73.84629,10469,P,12/13/2019 11:56 AM,386,2007,Bronx County,12/13/2019,11:56 AM,11 AM
XL19016163,40.86402,-73.86327,10467,P,12/13/2019 04:20 PM,328,1003,Bronx County,12/13/2019,04:20 PM,04 PM
ML19019629,40.73634,-74.00832,10014,P,12/14/2019 10:28 AM,79,2002,New York County,12/14/2019,10:28 AM,10 AM
QL19009542,40.77655,-73.7735,11360,P,12/14/2019 10:36 AM,1093,2005,Queens County,12/14/2019,10:36 AM,10 AM
WL19014941,41.20896,-73.88792,10520,M,12/14/2019 09:59 AM,139,4026,Westchester County,12/14/2019,09:59 AM,09 AM
WL19014943,40.94641,-73.7634,10538,M,12/14/2019 09:49 AM,70,3000,Westchester County,12/14/2019,09:49 AM,09 AM
WL19014945,40.9378,-73.72963,10543,P,12/14/2019 11:09 AM,72,2009,Westchester County,12/14/2019,11:09 AM,11 AM
WL19014949,40.93824,-73.86559,10701,P,12/14/2019 11:54 AM,23,1000,Westchester County,12/14/2019,11:54 AM,11 AM
WL19014956,40.99481,-73.78076,10583,M,12/14/2019 01:11 PM,99,3008,Westchester County,12/14/2019,01:11 PM,01 PM
WL19014973,40.97671,-73.77443,10583,P,12/14/2019 06:45 PM,98,1015,Westchester County,12/14/2019,06:45 PM,06 PM
XL19016123,40.82798,-73.92585,10452,M,12/12/2019 08:35 PM,63.02,1003,Bronx County,12/12/2019,08:35 PM,08 PM
ML19019678,40.72398,-73.98605,10009,M,12/15/2019 09:58 AM,32,4000,New York County,12/15/2019,09:58 AM,09 AM
QL19009566,40.73512,-73.70555,11001,P,12/15/2019 10:52 AM,1579.03,3000,Queens County,12/15/2019,10:52 AM,10 AM
WL19014984,40.9984,-73.71722,10580,M,12/15/2019 09:49 AM,85,2007,Westchester County,12/15/2019,09:49 AM,09 AM
WL19015001,41.16409,-73.77739,10514,M,12/16/2019 03:42 AM,131.04,3021,Westchester County,12/16/2019,03:42 AM,03 AM
ML19019021,40.77458,-73.96402,10021,P,12/02/2019 01:46 PM,130,4000,New York County,12/02/2019,01:46 PM,01 PM
ML19019721,40.7453,-73.98685,10001,M,12/16/2019 09:41 AM,76,2004,New York County,12/16/2019,09:41 AM,09 AM
ML19019737,40.72605,-74.00962,10013,M,12/16/2019 01:07 PM,37,1009,New York County,12/16/2019,01:07 PM,01 PM
QL19009583,40.73467,-73.74934,11427,M,12/16/2019 10:44 AM,1291.02,4004,Queens County,12/16/2019,10:44 AM,10 AM
QL19009591,40.72132,-73.81138,11367,P,12/16/2019 12:28 PM,779.04,2003,Queens County,12/16/2019,12:28 PM,12 PM
QL19009593,40.72203,-73.81674,11367,M,12/16/2019 12:53 PM,779.04,4000,Queens County,12/16/2019,12:53 PM,12 PM
QL19009602,40.77505,-73.9193,11102,P,12/16/2019 07:27 PM,97,3000,Queens County,12/16/2019,07:27 PM,07 PM
QL19009607,40.73445,-73.74931,11427,M,12/16/2019 11:00 PM,1291.02,4005,Queens County,12/16/2019,11:00 PM,11 PM
WL19015010,41.26082,-73.94069,10511,P,12/16/2019 10:31 AM,140,1019,Westchester County,12/16/2019,10:31 AM,10 AM
WL19015027,40.92655,-73.73426,10543,P,12/16/2019 01:29 PM,72,4002,Westchester County,12/16/2019,01:29 PM,01 PM
WL19015037,40.95432,-73.81212,10709,P,12/16/2019 03:11 PM,51,2006,Westchester County,12/16/2019,03:11 PM,03 PM
WL19015045,40.98579,-73.83281,10583,M,12/16/2019 05:00 PM,107.01,2019,Westchester County,12/16/2019,05:00 PM,05 PM
WL19015048,40.95252,-73.86607,10701,P,12/16/2019 05:16 PM,17.01,4008,Westchester County,12/16/2019,05:16 PM,05 PM
XL19016269,40.86115,-73.897,10458,M,12/16/2019 08:21 AM,237.02,1001,Bronx County,12/16/2019,08:21 AM,08 AM
XL19016292,40.82188,-73.80963,10465,M,12/16/2019 01:21 PM,138,1026,Bronx County,12/16/2019,01:21 PM,01 PM
XL19016314,40.89674,-73.84227,10466,M,12/16/2019 06:19 PM,448,1002,Bronx County,12/16/2019,06:19 PM,06 PM
ML19009535,40.77043,-73.96011,10021,M,06/19/2019 09:48 AM,126.01,1001,New York County,06/19/2019,09:48 AM,09 AM
ML19018792,40.75664,-73.98046,10036,P,11/27/2019 11:44 AM,96,1003,New York County,11/27/2019,11:44 AM,11 AM
ML19019780,40.76903,-73.9849,10019,M,12/17/2019 07:48 AM,145,4000,New York County,12/17/2019,07:48 AM,07 AM
ML19019789,40.74595,-73.99801,10011,M,12/17/2019 11:15 AM,91,3000,New York County,12/17/2019,11:15 AM,11 AM
QL19009647,40.76435,-73.7344,11362,P,12/17/2019 06:56 PM,1507.02,2009,Queens County,12/17/2019,06:56 PM,06 PM
WL19014408,41.02048,-73.78994,10530,M,12/02/2019 10:20 AM,108.04,1020,Westchester County,12/02/2019,10:20 AM,10 AM
WL19015068,40.94899,-73.83811,10708,M,12/17/2019 08:41 AM,22.02,3010,Westchester County,12/17/2019,08:41 AM,08 AM
WL19015106,40.94811,-73.77764,10804,P,12/17/2019 05:28 PM,67,1008,Westchester County,12/17/2019,05:28 PM,05 PM
XL19016295,40.90378,-73.89929,10471,P,12/16/2019 01:58 PM,345,2002,Bronx County,12/16/2019,01:58 PM,01 PM
ML19019847,40.74735,-73.99699,10001,P,12/18/2019 11:00 AM,95,2003,New York County,12/18/2019,11:00 AM,11 AM
ML19019861,40.72094,-73.9888,10002,P,12/18/2019 01:48 PM,30.01,2002,New York County,12/18/2019,01:48 PM,01 PM
WL19015124,40.98517,-73.83343,10710,M,12/18/2019 08:34 AM,21.01,2000,Westchester County,12/18/2019,08:34 AM,08 AM
WL19015125,41.25351,-73.93331,10548,P,12/18/2019 08:49 AM,146.04,1004,Westchester County,12/18/2019,08:49 AM,08 AM
XL19016387,40.87915,-73.85931,10467,P,12/18/2019 07:28 AM,380,2000,Bronx County,12/18/2019,07:28 AM,07 AM
ML19016350,40.80008,-73.95494,10026,P,10/21/2019 10:35 AM,216,5000,New York County,10/21/2019,10:35 AM,10 AM
ML19017813,40.74763,-73.97478,10016,P,11/12/2019 08:10 AM,78,1000,New York County,11/12/2019,08:10 AM,08 AM
ML19019901,40.75249,-73.98058,10017,P,12/19/2019 11:49 AM,82,1001,New York County,12/19/2019,11:49 AM,11 AM
ML19019909,40.72224,-74.00078,10013,P,12/19/2019 01:21 PM,47,2011,New York County,12/19/2019,01:21 PM,01 PM
QL19008983,40.74394,-73.70111,11040,M,11/26/2019 01:35 PM,1579.01,3000,Queens County,11/26/2019,01:35 PM,01 PM
WL19015172,40.93082,-73.85985,10704,P,12/19/2019 09:06 AM,24.05,1006,Westchester County,12/19/2019,09:06 AM,09 AM
QL19009718,40.71876,-73.74409,11428,M,12/20/2019 06:50 AM,542,2009,Queens County,12/20/2019,06:50 AM,06 AM
QL19009720,40.73194,-73.80404,11365,P,12/20/2019 08:27 AM,1223,3009,Queens County,12/20/2019,08:27 AM,08 AM
QL19009753,40.71876,-73.74409,11428,M,12/20/2019 04:26 PM,542,2009,Queens County,12/20/2019,04:26 PM,04 PM
WL19015214,40.94272,-73.85485,10701,M,12/20/2019 09:38 AM,23,2000,Westchester County,12/20/2019,09:38 AM,09 AM
WL19015215,41.16441,-73.77797,10514,M,12/20/2019 09:44 AM,131.04,3025,Westchester County,12/20/2019,09:44 AM,09 AM
WL19015218,40.96446,-73.87887,10703,P,12/20/2019 10:21 AM,8.01,1002,Westchester County,12/20/2019,10:21 AM,10 AM
WL19015219,40.92019,-73.85088,10704,P,12/20/2019 10:24 AM,24.03,1008,Westchester County,12/20/2019,10:24 AM,10 AM
WL19015230,40.93214,-73.88721,10701,M,12/20/2019 01:28 PM,11.02,3001,Westchester County,12/20/2019,01:28 PM,01 PM
WL19015236,40.94702,-73.85827,10701,M,12/20/2019 03:25 PM,17.02,2023,Westchester County,12/20/2019,03:25 PM,03 PM
WL19015237,40.94723,-73.85818,10701,M,12/20/2019 03:41 PM,17.02,2023,Westchester County,12/20/2019,03:41 PM,03 PM
WL19015258,40.96514,-73.81758,10709,P,12/20/2019 10:44 PM,50.02,2020,Westchester County,12/20/2019,10:44 PM,10 PM
ML19019998,40.74104,-73.97865,10016,P,12/21/2019 01:00 AM,66,2000,New York County,12/21/2019,01:00 AM,01 AM
ML19020011,40.83692,-73.94269,10032,M,12/21/2019 09:14 AM,245,4001,New York County,12/21/2019,09:14 AM,09 AM
QL19009767,40.75911,-73.7905,11358,P,12/21/2019 09:04 AM,1175,4007,Queens County,12/21/2019,09:04 AM,09 AM
QL19009777,40.74747,-73.71435,11004,M,12/21/2019 12:02 PM,1551.04,4002,Queens County,12/21/2019,12:02 PM,12 PM
QL19009780,40.7227,-73.80072,11366,M,12/21/2019 01:19 PM,1265,1000,Queens County,12/21/2019,01:19 PM,01 PM
QL19009781,40.74747,-73.71435,11004,M,12/21/2019 01:29 PM,1551.04,4002,Queens County,12/21/2019,01:29 PM,01 PM
QL19009782,40.73985,-73.9279,11101,P,12/21/2019 03:51 PM,189,2006,Queens County,12/21/2019,03:51 PM,03 PM
QL19009784,40.7605,-73.78052,11361,P,12/21/2019 04:06 PM,1463,1003,Queens County,12/21/2019,04:06 PM,04 PM
QL19009785,40.75845,-73.78123,11361,P,12/21/2019 05:15 PM,1463,1005,Queens County,12/21/2019,05:15 PM,05 PM
QL19009787,40.7225,-73.80099,11432,M,12/21/2019 05:32 PM,1265,1000,Queens County,12/21/2019,05:32 PM,05 PM
QL19009788,40.73466,-73.71296,11001,P,12/21/2019 06:26 PM,1571.01,7012,Queens County,12/21/2019,06:26 PM,06 PM
WL19015277,41.05008,-73.81976,10523,M,12/21/2019 12:00 PM,112,1018,Westchester County,12/21/2019,12:00 PM,12 PM
WL19015286,41.29717,-73.89402,10566,P,12/21/2019 01:26 PM,144,3000,Westchester County,12/21/2019,01:26 PM,01 PM
WL19015295,40.93457,-73.89128,10701,P,12/21/2019 06:00 PM,11.01,2004,Westchester County,12/21/2019,06:00 PM,06 PM
WL19015300,40.92993,-73.80587,10708,M,12/21/2019 07:18 PM,52,1010,Westchester County,12/21/2019,07:18 PM,07 PM
WL19015303,41.15476,-73.85102,10510,M,12/21/2019 09:38 PM,132.02,2014,Westchester County,12/21/2019,09:38 PM,09 PM
WL19015308,41.29717,-73.89402,10566,P,12/22/2019 01:19 AM,144,3000,Westchester County,12/22/2019,01:19 AM,01 AM
XL19016545,40.88585,-73.85691,10466,P,12/21/2019 10:26 AM,406,1004,Bronx County,12/21/2019,10:26 AM,10 AM
XL19016547,40.81352,-73.88479,10474,M,12/21/2019 11:05 AM,93.01,5003,Bronx County,12/21/2019,11:05 AM,11 AM
XL19016563,40.82995,-73.86026,10472,P,12/21/2019 05:45 PM,72,1003,Bronx County,12/21/2019,05:45 PM,05 PM
XL19016569,40.82996,-73.86015,10472,P,12/21/2019 09:35 PM,40.01,1000,Bronx County,12/21/2019,09:35 PM,09 PM
ML19020049,40.86695,-73.92333,10034,M,12/22/2019 08:39 AM,295,3001,New York County,12/22/2019,08:39 AM,08 AM
QL19009803,40.72309,-73.80091,11366,P,12/22/2019 01:04 PM,1241,2007,Queens County,12/22/2019,01:04 PM,01 PM
QL19009812,40.75937,-73.79054,11358,M,12/22/2019 04:43 PM,1175,4007,Queens County,12/22/2019,04:43 PM,04 PM
WL19015310,40.92764,-73.74636,10538,M,12/22/2019 08:10 AM,71,1005,Westchester County,12/22/2019,08:10 AM,08 AM
WL19015314,41.20985,-73.88973,10520,P,12/22/2019 10:00 AM,139,4000,Westchester County,12/22/2019,10:00 AM,10 AM
WL19015323,40.95307,-73.71326,10580,M,12/22/2019 12:47 PM,75,3023,Westchester County,12/22/2019,12:47 PM,12 PM
WL19015334,40.94601,-73.88723,10703,M,12/22/2019 08:10 PM,6.01,2001,Westchester County,12/22/2019,08:10 PM,08 PM
WL19015336,40.96556,-73.86969,10710,P,12/22/2019 09:11 PM,19,1007,Westchester County,12/22/2019,09:11 PM,09 PM
ML19020087,40.78297,-73.9553,10128,P,12/23/2019 09:18 AM,150.02,1000,New York County,12/23/2019,09:18 AM,09 AM
ML19020098,40.79092,-73.93913,10029,P,12/23/2019 11:16 AM,170,5000,New York County,12/23/2019,11:16 AM,11 AM
ML19020114,40.7179,-74.00624,10013,M,12/23/2019 03:38 PM,33,2007,New York County,12/23/2019,03:38 PM,03 PM
ML19020123,40.74294,-73.99085,10010,P,12/23/2019 05:47 PM,58,1007,New York County,12/23/2019,05:47 PM,05 PM
ML19020132,40.72094,-73.9888,10002,M,12/23/2019 10:43 PM,30.01,2002,New York County,12/23/2019,10:43 PM,10 PM
QL19009826,40.73093,-73.8005,11365,P,12/23/2019 10:57 AM,1241,1002,Queens County,12/23/2019,10:57 AM,10 AM
QL19009828,40.73061,-73.79381,11365,P,12/23/2019 11:18 AM,1247,2009,Queens County,12/23/2019,11:18 AM,11 AM
