TicketNumber,Latitude,Longitude,Zipcode,Classification,DateReported
QL19009246,40.75569,-73.82005,11355,M,12/05/2019 09:07 PM
QL19009252,40.74807,-73.72101,11004,P,12/06/2019 08:54 AM
QL19009253,40.77335,-73.81141,11354,M,12/06/2019 09:08 AM
QL19009256,40.73466,-73.71296,11001,P,12/06/2019 09:50 AM
QL19009264,40.73859,-73.79726,11365,P,12/06/2019 11:54 AM
QL19009296,40.70015,-73.78396,11433,M,12/07/2019 11:11 AM
WL17007806,40.99023,-73.8232,10583,M,08/09/2017 03:23 PM
WL18002550,41.03169,-73.86765,10533,M,02/15/2018 02:45 PM
WL18009064,41.15131,-73.76978,10514,M,08/10/2018 09:33 AM
WL19000217,41.02267,-73.87048,10522,M,01/07/2019 02:50 PM
WL19000325,40.91821,-73.82872,10550,M,01/10/2019 11:06 AM
WL19000383,41.20206,-73.64379,10506,P,01/11/2019 10:03 PM
WL19000570,40.89496,-73.77982,10805,M,01/14/2019 03:24 PM
WL19000619,40.93447,-73.79094,10804,M,01/15/2019 02:43 PM
WL19000734,40.96744,-73.73648,10543,M,01/18/2019 08:51 AM
WL19000754,40.9279,-73.83229,10552,M,01/18/2019 01:11 PM
WL19001552,41.01017,-73.754,10605,M,02/04/2019 08:28 AM
WL19001708,40.91508,-73.84718,10550,M,02/06/2019 10:24 AM
WL19001720,40.94931,-73.83468,10708,M,02/06/2019 12:43 PM
WL19001940,41.04208,-73.74286,10604,M,02/11/2019 10:12 AM
WL19001972,41.006,-73.68206,10573,M,02/11/2019 02:41 PM
WL19002215,40.92179,-73.85308,10704,M,02/16/2019 02:28 PM
WL19002393,41.15429,-73.85989000000001,10562,M,02/21/2019 02:06 PM
WL19003247,40.97197,-73.86753,10710,M,03/12/2019 10:38 AM
WL19003540,40.95609,-73.71953,10543,M,03/18/2019 12:04 PM
WL19003737,40.91848,-73.84776,10704,M,03/22/2019 05:49 PM
WL19004012,40.94436,-73.85998,10701,P,03/29/2019 04:02 PM
WL19004326,40.93299,-73.79124,10804,M,04/07/2019 12:26 PM
WL19004496,40.96739,-73.78774,10804,M,04/11/2019 02:27 PM
WL19005529,41.00428,-73.67043,10573,M,05/08/2019 11:34 AM
WL19006204,40.94422,-73.86053,10701,M,05/23/2019 11:11 AM
WL19006263,41.00924,-73.66526,10573,M,05/24/2019 10:55 AM
WL19006278,40.91559,-73.8222,10553,M,05/25/2019 07:31 AM
WL19006302,40.94876,-73.76571,10538,M,05/26/2019 05:52 PM
WL19006523,40.954,-73.72552,10543,M,06/03/2019 01:31 PM
WL19007098,41.04866,-73.85479,10533,M,06/14/2019 11:07 AM
WL19007151,41.01079,-73.65972,10573,M,06/15/2019 11:09 AM
WL19007159,41.13583,-73.85834,10510,M,06/15/2019 04:44 PM
WL19007304,40.91142,-73.88905,10705,P,06/19/2019 09:03 PM
WL19007383,41.18485,-73.84476,10562,M,06/21/2019 06:47 PM
WL19007610,40.95516,-73.72869,10543,M,06/27/2019 03:41 PM
WL19007749,40.96278,-73.80429,10709,M,07/02/2019 09:15 AM
WL19007956,40.94618,-73.75551,10538,M,07/09/2019 10:52 AM
WL19008220,41.16097,-73.76753,10514,M,07/16/2019 12:16 PM
WL19008235,41.02989,-73.8665,10533,M,07/16/2019 03:34 PM
WL19008262,41.15093,-73.77376,10514,M,07/17/2019 11:28 AM
WL19008334,41.00801,-73.87959,10522,M,07/18/2019 10:49 PM
WL19008491,41.02616,-73.67817,10573,M,07/23/2019 04:48 PM
WL19008670,41.00518,-73.83689,10502,M,07/28/2019 02:00 PM
WL19008890,41.02997,-73.86585,10533,M,08/03/2019 12:38 PM
WL19009072,41.01787,-73.73035,10605,M,08/08/2019 12:19 PM
WL19009118,41.04031,-73.77239,10603,M,08/09/2019 12:11 PM
WL19009315,41.16423,-73.77766,10514,M,08/14/2019 01:37 PM
WL19009341,41.29223,-73.78134,10598,M,08/15/2019 11:17 AM
WL19009344,40.91798,-73.82516,10550,M,08/15/2019 11:29 AM
WL19009349,40.95379,-73.77854,10804,M,08/15/2019 12:52 PM
WL19009632,40.94043,-73.898,10701,M,08/23/2019 06:54 AM
WL19009811,40.95506,-73.72896,10543,M,08/25/2019 01:10 PM
WL19009830,41.02333,-73.76261,10605,M,08/26/2019 10:21 AM
WL19009840,40.9559,-73.83068,10707,M,08/26/2019 12:38 PM
WL19010282,40.9404,-73.77872,10804,M,09/05/2019 10:46 AM
WL19010513,41.03575,-73.86528,10533,M,09/08/2019 05:26 PM
WL19010588,41.03575,-73.86528,10533,M,09/10/2019 10:57 AM
WL19010622,41.0264,-73.78412,10606,M,09/11/2019 08:13 AM
WL19010625,40.9441,-73.74502,10543,M,09/11/2019 10:28 AM
WL19010997,40.96053,-73.68665,10580,M,09/19/2019 10:31 AM
WL19011060,40.94103,-73.82635,10708,M,09/20/2019 10:50 AM
WL19011075,40.98416,-73.88071,10706,M,09/20/2019 01:09 PM
WL19011272,41.13798,-73.85739,10510,M,09/25/2019 02:49 PM
WL19011352,41.16382,-73.77702,10514,M,09/27/2019 11:17 AM
WL19011381,41.06503,-73.85259,10591,M,09/27/2019 02:44 PM
WL19011463,40.91451,-73.89688,10705,M,09/29/2019 09:54 AM
WL19011595,40.93615,-73.79246,10804,M,10/02/2019 01:18 PM
WL19011667,41.00832,-73.69052,10573,M,10/04/2019 11:20 AM
WL19011719,41.04609,-73.78983,10603,M,10/05/2019 01:23 PM
WL19011912,40.96384,-73.80527,10709,M,10/10/2019 03:34 PM
WL19012048,41.1662,-73.77858,10514,M,10/13/2019 06:02 PM
WL19012163,40.91132,-73.88899,10705,M,10/15/2019 06:05 PM
WL19012182,40.93436,-73.84828,10708,M,10/16/2019 10:35 AM
WL19012288,41.01797,-73.75686,10605,M,10/18/2019 01:57 PM
WL19012578,41.03174,-73.68545,10573,M,10/24/2019 02:24 PM
WL19012606,41.02704,-73.68682,10573,M,10/25/2019 11:10 AM
WL19012629,40.96669,-73.77363,10804,M,10/25/2019 03:33 PM
WL19012658,40.90537,-73.81209,10803,M,10/26/2019 02:33 PM
WL19012684,40.92349,-73.83197,10552,M,10/27/2019 02:15 PM
WL19012716,41.00829,-73.78643,10583,M,10/28/2019 11:00 AM
WL19012864,41.021,-73.69033,10573,M,10/30/2019 05:36 PM
WL19012922,40.93926,-73.77171,10804,M,11/01/2019 12:32 PM
WL19012951,40.93742,-73.83189,10708,M,11/02/2019 09:40 AM
WL19012982,40.99278,-73.80303,10583,M,11/02/2019 08:12 PM
WL19013082,40.93701,-73.7936,10804,M,11/05/2019 09:03 AM
WL19013103,41.00294,-73.66641,10573,M,11/05/2019 11:50 AM
WL19013114,41.06397,-73.83531,10591,M,11/05/2019 01:28 PM
WL19013187,41.00698,-73.78679,10583,M,11/06/2019 04:12 PM
WL19013199,40.96404,-73.79602,10804,M,11/06/2019 08:02 PM
WL19013256,41.30063,-73.7931,10598,M,11/08/2019 08:46 AM
WL19013329,40.93,-73.83491,10552,M,11/09/2019 01:47 PM
WL19013352,40.94836,-73.76624,10538,M,11/10/2019 04:33 PM
WL19013381,40.980760000000004,-73.82313,10583,M,11/11/2019 12:22 PM
WL19013386,40.92811,-73.81738,10552,M,11/11/2019 12:47 PM
WL19013475,40.96344,-73.77793,10804,M,11/13/2019 12:56 PM
WL19013545,40.94275,-73.7558,10538,M,11/14/2019 02:02 PM
WL19013551,40.93964,-73.79897,10804,M,11/14/2019 02:24 PM
WL19013565,41.06463,-73.85417,10591,M,11/14/2019 05:15 PM
WL19013584,40.97318,-73.83593,10710,M,11/15/2019 07:41 AM
WL19013588,41.08435,-73.77727,10595,M,11/15/2019 09:13 AM
WL19013613,41.0648,-73.76655,10603,M,11/15/2019 11:46 AM
WL19013616,40.98191,-73.83191,10710,M,11/15/2019 12:26 PM
WL19013728,40.9279,-73.83229,10552,M,11/18/2019 10:34 AM
WL19013822,40.95447,-73.79823,10804,M,11/19/2019 10:31 PM
WL19013850,40.929990000000004,-73.83491,10552,M,11/20/2019 11:51 AM
WL19013864,41.03663,-73.76512,10601,M,11/20/2019 03:02 PM
WL19013878,40.94588,-73.8919,10703,M,11/20/2019 06:57 PM
WL19013899,40.92204,-73.78255,10801,M,11/21/2019 09:26 AM
WL19013904,40.96977,-73.69237,10580,M,11/21/2019 10:13 AM
WL19013907,40.91575,-73.79507,10801,M,11/21/2019 10:22 AM
WL19013921,40.98962,-73.72138,10528,M,11/21/2019 12:10 PM
WL19013950,40.97937,-73.67842,10580,M,11/21/2019 11:58 PM
WL19013973,40.91051,-73.8876,10705,M,11/22/2019 10:52 AM
WL19014004,41.01666,-73.6852,10573,M,11/23/2019 10:44 AM
WL19014022,41.20945,-73.73165,10549,M,11/23/2019 05:19 PM
WL19014155,41.07208,-73.8589,10591,M,11/25/2019 03:14 PM
WL19014157,40.91388,-73.87859,10705,M,11/25/2019 03:28 PM
WL19014191,40.94996,-73.84873,10710,M,11/26/2019 07:55 AM
WL19014202,41.13303,-73.83628,10510,M,11/26/2019 10:18 AM
