TicketNumber,Latitude,Longitude,Zipcode,Classification,DateReported
QL19009777,40.74747,-73.71435,11004,M,12/21/2019 12:02 PM
QL19009780,40.7227,-73.80072,11366,M,12/21/2019 01:19 PM
QL19009781,40.74747,-73.71435,11004,M,12/21/2019 01:29 PM
QL19009782,40.73985,-73.9279,11101,P,12/21/2019 03:51 PM
QL19009784,40.7605,-73.78052,11361,P,12/21/2019 04:06 PM
QL19009785,40.75845,-73.78123,11361,P,12/21/2019 05:15 PM
QL19009787,40.7225,-73.80099,11432,M,12/21/2019 05:32 PM
QL19009788,40.73466,-73.71296,11001,P,12/21/2019 06:26 PM
WL19015277,41.05008,-73.81976,10523,M,12/21/2019 12:00 PM
WL19015286,41.29717,-73.89402,10566,P,12/21/2019 01:26 PM
WL19015295,40.93457,-73.89128,10701,P,12/21/2019 06:00 PM
WL19015300,40.92993,-73.80587,10708,M,12/21/2019 07:18 PM
WL19015303,41.15476,-73.85102,10510,M,12/21/2019 09:38 PM
WL19015308,41.29717,-73.89402,10566,P,12/22/2019 01:19 AM
XL19016545,40.88585,-73.85691,10466,P,12/21/2019 10:26 AM
XL19016547,40.81352,-73.88479,10474,M,12/21/2019 11:05 AM
XL19016563,40.82995,-73.86026,10472,P,12/21/2019 05:45 PM
XL19016569,40.82996,-73.86015,10472,P,12/21/2019 09:35 PM
ML19020049,40.86695,-73.92333,10034,M,12/22/2019 08:39 AM
QL19009803,40.72309,-73.80091,11366,P,12/22/2019 01:04 PM
QL19009812,40.75937,-73.79054,11358,M,12/22/2019 04:43 PM
WL19015310,40.92764,-73.74636,10538,M,12/22/2019 08:10 AM
WL19015314,41.20985,-73.88973,10520,P,12/22/2019 10:00 AM
WL19015323,40.95307,-73.71326,10580,M,12/22/2019 12:47 PM
WL19015334,40.94601,-73.88723,10703,M,12/22/2019 08:10 PM
WL19015336,40.96556,-73.86969,10710,P,12/22/2019 09:11 PM
ML19020087,40.78297,-73.9553,10128,P,12/23/2019 09:18 AM
ML19020098,40.79092,-73.93913,10029,P,12/23/2019 11:16 AM
ML19020114,40.7179,-74.00624,10013,M,12/23/2019 03:38 PM
ML19020123,40.74294,-73.99085,10010,P,12/23/2019 05:47 PM
ML19020132,40.72094,-73.9888,10002,M,12/23/2019 10:43 PM
QL19009826,40.73093,-73.8005,11365,P,12/23/2019 10:57 AM
QL19009828,40.73061,-73.79381,11365,P,12/23/2019 11:18 AM
QL19009836,40.73093,-73.8005,11365,P,12/23/2019 12:44 PM
QL19009838,40.77363,-73.77766,11360,P,12/23/2019 01:13 PM
WL19015344,40.92458,-73.76834,10801,M,12/23/2019 10:00 AM
XL19016627,40.82925,-73.85994,10472,P,12/23/2019 08:02 AM
XL19016628,40.90218,-73.84161,10466,M,12/23/2019 08:10 AM
XL19016665,40.87471,-73.90357,10463,M,12/23/2019 02:55 PM
ML19020148,40.70577,-74.00697,10005,P,12/24/2019 12:11 PM
QL19009871,40.74568,-73.78291,11365,P,12/24/2019 11:39 PM
QL19009872,40.74573,-73.78275,11365,P,12/24/2019 11:40 PM
WL19015392,40.99819,-73.7703,10583,M,12/24/2019 09:57 AM
WL19015395,40.94234,-73.75574,10538,M,12/24/2019 10:52 AM
WL19015398,40.9794,-73.78166,10583,M,12/24/2019 12:15 PM
WL19015501,40.93668,-73.86166,10701,M,12/24/2019 07:58 PM
WL19015515,40.94911,-73.86961,10701,M,12/24/2019 10:03 PM
WL19015519,40.94575,-73.87139,10701,P,12/24/2019 10:55 PM
WL19015544,40.96477,-73.86976,10710,P,12/25/2019 03:09 AM
ML19020183,40.73556,-73.98659,10003,M,12/25/2019 01:32 PM
ML19020196,40.71008,-74.00744,10038,P,12/25/2019 08:40 PM
QL19009882,40.75092,-73.79044,11358,M,12/25/2019 10:03 PM
WL19015548,40.99819,-73.7703,10583,M,12/25/2019 10:11 AM
WL19015557,40.98407,-73.69631,10580,M,12/25/2019 02:55 PM
WL19015568,40.97638,-73.78998,10583,P,12/25/2019 11:41 PM
ML19020218,40.83728,-73.94008,10032,M,12/26/2019 01:41 PM
ML19020240,40.74325,-73.99158,10010,P,12/27/2019 12:38 AM
QL19009894,40.75822,-73.94117,11101,M,12/26/2019 10:07 AM
QL19009909,40.76764,-73.78624,11361,M,12/26/2019 03:43 PM
QL19009910,40.7376,-73.71534,11426,M,12/26/2019 04:49 PM
WL19015573,40.96256,-73.80404,10709,M,12/26/2019 07:37 AM
WL19015585,41.03575,-73.86528,10533,M,12/26/2019 12:57 PM
WL19015590,41.04802,-73.81022,10523,M,12/26/2019 02:16 PM
WL19015603,40.9093,-73.78028,10801,M,12/26/2019 05:34 PM
WL19015614,40.94845,-73.77245,10804,M,12/26/2019 10:09 PM
XL19016755,40.90346,-73.8549,10470,P,12/26/2019 09:46 AM
XL19016794,40.81735,-73.91971,10451,M,12/26/2019 07:05 PM
QL19009948,40.74169,-73.81303,11355,M,12/27/2019 04:35 PM
WL19015619,40.90573,-73.83176,10550,M,12/27/2019 07:49 AM
WL19015620,41.04152,-73.86186000000001,10533,M,12/27/2019 07:49 AM
WL19015625,41.04198,-73.86012,10533,M,12/27/2019 10:00 AM
WL19015634,40.98282,-73.83731,10710,P,12/27/2019 11:06 AM
WL19015639,41.15513,-73.85579,10510,M,12/27/2019 11:40 AM
WL19015647,40.91104,-73.86406,10704,M,12/27/2019 12:14 PM
WL19015653,40.9359,-73.8564,10704,P,12/27/2019 01:25 PM
WL19015658,40.99213,-73.66738,10573,P,12/27/2019 02:23 PM
WL19015671,41.05217,-73.81356,10523,P,12/27/2019 06:57 PM
WL19015673,40.92972,-73.82431,10552,M,12/27/2019 07:20 PM
WL19015677,40.95094,-73.69116,10580,M,12/27/2019 09:26 PM
WL19015680,40.91975,-73.7705,10801,P,12/28/2019 12:36 AM
QL19009955,40.747370000000004,-73.71608,11004,M,12/28/2019 08:43 AM
QL19009959,40.75725,-73.81047,11355,P,12/28/2019 12:49 PM
QL19009964,40.74219,-73.93408,11101,P,12/28/2019 08:46 PM
WL19015684,40.89718,-73.80397,10803,M,12/28/2019 05:30 AM
WL19015695,41.04658,-73.86079,10533,M,12/28/2019 12:28 PM
WL19015703,40.99519,-73.75809,10583,M,12/28/2019 04:47 PM
WL19015709,40.91945,-73.8085,10803,M,12/28/2019 06:28 PM
WL19015717,40.9467,-73.89187,10703,M,12/29/2019 12:37 AM
ML19020315,40.78967,-73.96985,10024,P,12/29/2019 07:22 AM
ML19020324,40.71693,-73.9987,10013,M,12/29/2019 02:43 PM
ML19020325,40.78844,-73.94906,10029,M,12/29/2019 02:46 PM
WL19015725,40.99255,-73.76091,10583,P,12/29/2019 11:20 AM
WL19015733,41.02727,-73.80238,10530,M,12/29/2019 05:18 PM
XL19016894,40.88973,-73.83673,10466,P,12/29/2019 09:08 PM
QL19010003,40.71964,-73.82554,11367,P,12/30/2019 06:16 PM
XL19016915,40.8747,-73.90357,10463,P,12/30/2019 12:50 PM
ML19020412,40.74907,-73.98603,10016,M,12/31/2019 01:21 PM
QL19010031,40.74565,-73.92484,11104,P,12/31/2019 04:58 PM
WL19015783,41.07626,-73.85834,10591,M,12/31/2019 09:47 AM
WL19015786,40.94443,-73.77646,10804,M,12/31/2019 10:08 AM
WL19015788,41.15513,-73.85579,10510,M,12/31/2019 10:30 AM
WL19015790,40.92179,-73.88809,10705,P,12/31/2019 11:02 AM
WL19015791,41.13282,-73.86576,10510,M,12/31/2019 11:38 AM
WL19015796,41.04802,-73.81022,10523,M,12/31/2019 12:29 PM
WL19015799,40.92168,-73.75433,10538,M,12/31/2019 01:02 PM
WL19015805,41.06688,-73.85541,10591,M,12/31/2019 03:56 PM
ML20000025,40.72011,-74.00288,10013,P,01/01/2020 08:32 PM
WL20000016,41.03897,-73.81011,10607,P,01/01/2020 06:26 PM
XL20000023,40.81011,-73.92359,10454,M,01/01/2020 08:23 PM
ML20000034,40.76144,-73.95772,10065,P,01/02/2020 07:47 AM
ML20000048,40.70831,-74.00967,10005,P,01/02/2020 11:03 AM
ML20000070,40.76522,-73.98917,10019,M,01/02/2020 06:42 PM
QL20000009,40.77278,-73.77558,11361,P,01/02/2020 09:09 AM
QL20000027,40.73859,-73.79726,11365,M,01/02/2020 12:11 PM
QL20000034,40.77709,-73.751,11363,M,01/02/2020 02:36 PM
QL20000035,40.78146,-73.91561,11105,M,01/02/2020 02:37 PM
QL20000039,40.71501,-73.80911,11432,P,01/02/2020 06:48 PM
WL19014605,40.95903,-73.72984,10543,M,12/06/2019 10:47 AM
WL20000024,40.91497,-73.87732,10705,P,01/02/2020 07:49 AM
WL20000025,41.06844,-73.79631,10603,M,01/02/2020 08:10 AM
WL20000027,40.94163,-73.79154,10804,P,01/02/2020 09:20 AM
WL20000029,41.27285,-73.93081,10566,M,01/02/2020 09:40 AM
WL20000030,40.97406,-73.77287,10583,M,01/02/2020 09:42 AM
WL20000034,40.94288,-73.84153,10708,P,01/02/2020 10:19 AM
WL20000038,41.32512,-73.88268,10567,M,01/02/2020 11:03 AM
WL20000039,40.96557,-73.71643,10528,M,01/02/2020 11:04 AM
WL20000042,40.99334,-73.67689,10573,M,01/02/2020 11:50 AM
WL20000051,41.28403,-73.93056,10566,P,01/02/2020 02:26 PM
WL20000058,41.13895,-73.77188,10570,M,01/02/2020 04:39 PM
WL20000064,41.01403,-73.6601,10573,M,01/02/2020 06:09 PM
WL20000067,40.89483,-73.7799,10805,M,01/02/2020 08:40 PM
XL20000035,40.87804,-73.83322,10475,P,01/02/2020 09:53 AM
XL20000038,40.86988,-73.90088,10468,P,01/02/2020 10:21 AM
XL20000060,40.85036,-73.78473,10464,P,01/02/2020 02:36 PM
XL20000080,40.84806,-73.78439,10464,P,01/02/2020 08:58 PM
ML20000086,40.77867,-73.97964,10023,P,01/03/2020 07:27 AM
ML20000098,40.76302,-73.99364,10036,P,01/03/2020 09:51 AM
ML20000104,40.72358,-73.99272,10002,P,01/03/2020 11:40 AM
ML20000109,40.79508,-73.96221,10025,M,01/03/2020 12:46 PM
ML20000120,40.70831,-74.00967,10005,P,01/03/2020 01:57 PM
ML20000126,40.73986,-73.97775,10016,P,01/03/2020 04:00 PM
WL20000077,41.17669,-73.8444,10562,M,01/03/2020 09:22 AM
WL20000085,41.2931,-73.85318,10547,M,01/03/2020 10:25 AM
WL20000092,40.91572,-73.85657,10704,M,01/03/2020 11:53 AM
WL20000094,41.2926,-73.89829,10566,M,01/03/2020 12:39 PM
WL20000097,40.96537,-73.73233,10543,P,01/03/2020 01:06 PM
WL20000108,41.15513,-73.85579,10510,M,01/03/2020 02:33 PM
WL20000109,41.02672,-73.68675,10573,M,01/03/2020 02:37 PM
WL20000115,41.06688,-73.85541,10591,P,01/03/2020 03:52 PM
WL20000118,41.02642,-73.68668,10573,P,01/03/2020 04:25 PM
WL20000125,40.96554,-73.7324,10543,M,01/03/2020 08:06 PM
WL20000127,41.03098,-73.68456,10573,M,01/03/2020 09:47 PM
XL20000091,40.839150000000004,-73.86736,10460,M,01/03/2020 08:37 AM
XL20000126,40.82446,-73.8896,10459,P,01/03/2020 03:38 PM
WL20000082,40.96739,-73.78774,10804,M,01/03/2020 10:01 AM
ML20000162,40.77203,-73.95602,10075,P,01/04/2020 12:58 PM
ML20000174,40.78086,-73.9588,10028,P,01/04/2020 03:41 PM
ML20000176,40.75746,-73.97168,10022,P,01/04/2020 03:59 PM
ML20000184,40.75341,-73.99632,10001,M,01/04/2020 06:11 PM
ML20000195,40.71174,-74.00029,10038,P,01/04/2020 10:57 PM
QL20000074,40.76957,-73.80557,11358,P,01/04/2020 08:07 AM
QL20000075,40.76761,-73.76608,11361,P,01/04/2020 09:13 AM
QL20000084,40.75937,-73.79054,11358,M,01/04/2020 12:22 PM
QL20000086,40.74584,-73.71737,11004,P,01/04/2020 02:00 PM
QL20000094,40.75937,-73.79054,11358,M,01/04/2020 06:37 PM
WL20000133,41.33703,-73.78707,10535,M,01/04/2020 07:51 AM
WL20000134,40.91813,-73.90502,10705,P,01/04/2020 08:53 AM
WL20000135,40.94758,-73.76659,10538,P,01/04/2020 09:41 AM
WL20000136,41.17144,-73.77769,10514,P,01/04/2020 10:33 AM
WL20000139,41.19661,-73.72182,10549,M,01/04/2020 11:04 AM
WL20000146,40.95704,-73.82185,10707,M,01/04/2020 12:03 PM
WL20000149,40.938,-73.76146,10538,P,01/04/2020 12:16 PM
XL20000156,40.88983,-73.84283,10466,P,01/04/2020 09:39 AM
XL20000158,40.88496,-73.83033,10466,M,01/04/2020 11:05 AM
ML20000206,40.86665,-73.92415,10034,P,01/05/2020 10:09 AM
WL20000171,40.95568,-73.81611,10709,P,01/05/2020 11:38 AM
WL20000172,40.96344,-73.77793,10804,M,01/05/2020 11:51 AM
WL20000185,41.08629,-73.86259,10591,M,01/05/2020 09:30 PM
WL20000189,41.21456,-73.90056,10520,M,01/06/2020 02:03 AM
XL20000199,40.86468,-73.8996,10468,P,01/05/2020 11:53 AM
ML19012935,40.74192,-73.99725,10011,P,08/27/2019 12:38 PM
ML20000241,40.78879,-73.97358,10024,P,01/06/2020 09:04 AM
ML20000253,40.8243,-73.94746,10031,P,01/06/2020 12:08 PM
ML20000255,40.71262,-73.99041,10002,P,01/06/2020 01:32 PM
ML20000263,40.72277,-73.97672,10009,P,01/06/2020 03:34 PM
ML20000266,40.79277,-73.97133,10025,P,01/06/2020 04:28 PM
ML20000274,40.71841,-73.99118,10002,P,01/06/2020 07:43 PM
QL20000119,40.7355,-73.79749,11365,P,01/06/2020 09:57 AM
QL20000120,40.70184,-73.75249,11412,M,01/06/2020 10:12 AM
WL20000192,41.26101,-73.91843,10567,M,01/06/2020 08:32 AM
WL20000195,41.13997,-73.77855,10570,M,01/06/2020 09:17 AM
WL20000196,41.14289,-73.68193,10504,M,01/06/2020 09:28 AM
WL20000197,40.91974,-73.80836,10803,M,01/06/2020 09:31 AM
WL20000205,40.91314,-73.90096,10705,M,01/06/2020 10:19 AM
WL20000206,41.1898,-73.87133,10562,P,01/06/2020 10:41 AM
WL20000208,40.96522,-73.73226,10543,P,01/06/2020 11:04 AM
WL20000209,41.15001,-73.66764,10504,M,01/06/2020 11:35 AM
WL20000211,41.07465,-73.77472,10595,P,01/06/2020 11:49 AM
WL20000217,41.18998,-73.86916,10562,P,01/06/2020 12:54 PM
WL20000219,41.1325,-73.79411,10570,M,01/06/2020 01:04 PM
WL20000221,41.28607,-73.92334,10566,M,01/06/2020 01:23 PM
WL20000226,40.96351,-73.80215,10709,M,01/06/2020 02:15 PM
WL20000229,41.08779,-73.86187,10591,M,01/06/2020 02:58 PM
WL20000230,40.92319,-73.76329,10538,P,01/06/2020 03:11 PM
WL20000231,41.07662,-73.77695,10595,P,01/06/2020 03:42 PM
WL20000232,41.20668,-73.8929,10520,M,01/06/2020 03:44 PM
WL20000233,41.21449,-73.90148,10520,M,01/06/2020 04:11 PM
WL20000234,40.98962,-73.72138,10528,M,01/06/2020 06:45 PM
XL20000264,40.83082,-73.8172,10465,P,01/06/2020 03:23 PM
ML20000283,40.72939,-74.00102,10012,P,01/07/2020 06:52 AM
ML20000308,40.71393,-73.99181,10002,M,01/07/2020 02:43 PM
ML20000312,40.81058,-73.96217,10027,M,01/07/2020 02:56 PM
ML20000318,40.71684,-74.002,10013,P,01/07/2020 04:31 PM
ML20000332,40.76657,-73.99042,10019,M,01/07/2020 09:38 PM
QL20000159,40.75741,-73.94517,11101,M,01/07/2020 09:07 AM
QL20000161,40.71546,-73.83234,11375,P,01/07/2020 09:29 AM
QL20000163,40.76649,-73.83341,11354,P,01/07/2020 10:13 AM
QL20000166,40.75447,-73.76469,11364,M,01/07/2020 10:19 AM
QL20000178,40.75377,-73.91858,11101,P,01/07/2020 11:34 AM
QL20000186,40.76097,-73.76438,11361,M,01/07/2020 01:27 PM
QL20000196,40.64463,-73.77737,11430,P,01/07/2020 04:56 PM
WL20000256,41.12061,-73.70906,10504,P,01/07/2020 08:35 AM
WL20000257,41.18135,-73.85912,10562,P,01/07/2020 08:47 AM
WL20000260,41.04609,-73.81998,10607,P,01/07/2020 09:38 AM
WL20000262,40.99319,-73.78588,10583,M,01/07/2020 09:44 AM
WL20000263,40.89268,-73.81401,10803,P,01/07/2020 09:46 AM
WL20000264,40.99319,-73.78588,10583,M,01/07/2020 09:46 AM
WL20000265,40.945,-73.87767,10701,P,01/07/2020 09:56 AM
WL20000266,41.12051,-73.76932,10594,M,01/07/2020 10:02 AM
WL20000268,40.92716,-73.79278,10801,M,01/07/2020 10:21 AM
WL20000275,41.0902,-73.81182,10532,M,01/07/2020 11:35 AM
WL20000276,41.29494,-73.91543,10566,M,01/07/2020 11:40 AM
WL20000285,41.03712,-73.85972,10533,P,01/07/2020 01:48 PM
WL20000298,41.00582,-73.73206,10605,M,01/07/2020 06:12 PM
XL20000296,40.8232,-73.80872,10465,M,01/07/2020 11:55 AM
XL20000297,40.85471,-73.89513,10457,P,01/07/2020 12:13 PM
XL20000298,40.85779,-73.90676,10453,P,01/07/2020 12:24 PM
XL20000322,40.84438,-73.83463,10461,P,01/07/2020 05:53 PM
ML20000340,40.72012,-73.99923,10013,P,01/08/2020 08:27 AM
ML20000357,40.73754,-74.0057,10014,M,01/08/2020 11:16 AM
ML20000372,40.70765,-74.0031,11201,M,01/08/2020 03:15 PM
ML20000377,40.7809,-73.95485,10128,P,01/08/2020 04:35 PM
ML20000385,40.75752,-73.97584,10022,M,01/08/2020 06:48 PM
QL20000204,40.76973,-73.83034,11354,M,01/08/2020 08:56 AM
QL20000208,40.76598,-73.77224,11361,M,01/08/2020 09:30 AM
QL20000213,40.73941,-73.92799,11101,P,01/08/2020 10:55 AM
QL20000222,40.7533,-73.93403,11101,P,01/08/2020 01:15 PM
WL20000306,41.20529,-73.87842,10520,M,01/08/2020 08:04 AM
WL20000308,41.21173,-73.87863,10520,M,01/08/2020 08:46 AM
WL20000311,41.19756,-73.88017,10520,M,01/08/2020 09:23 AM
WL20000313,40.96206,-73.72585,10543,P,01/08/2020 09:54 AM
WL20000314,41.14543,-73.67579,10504,M,01/08/2020 09:58 AM
WL20000317,41.21064,-73.87979,10520,M,01/08/2020 10:12 AM
WL20000318,41.04716,-73.78958,10607,M,01/08/2020 10:17 AM
WL20000325,41.14794,-73.67186,10504,M,01/08/2020 11:36 AM
WL20000327,41.21534,-73.90729,10520,M,01/08/2020 11:44 AM
WL20000328,40.95247,-73.7918,10804,M,01/08/2020 11:50 AM
WL20000329,40.9689,-73.79533,10583,M,01/08/2020 12:34 PM
WL20000331,40.96293,-73.84723,10710,M,01/08/2020 01:16 PM
WL20000332,40.96982,-73.71852,10528,P,01/08/2020 01:53 PM
WL20000335,40.95225,-73.79187,10804,P,01/08/2020 12:41 PM
WL20000340,40.9646,-73.80224,10583,M,01/08/2020 05:50 PM
XL20000241,40.81222,-73.85988,10473,P,01/06/2020 11:20 AM
XL20000344,40.87038,-73.86242,10467,P,01/08/2020 10:56 AM
ML20000418,40.80147,-73.96046,10025,P,01/09/2020 12:57 PM
ML20000420,40.71907,-74.00144,10013,P,01/09/2020 01:12 PM
ML20000424,40.73103,-73.98592,10003,P,01/09/2020 04:12 PM
ML20000426,40.70863,-74.00938,10005,M,01/09/2020 06:24 PM
QL20000243,40.75697,-73.80161,11358,P,01/09/2020 09:27 AM
QL20000247,40.76165,-73.81522,11355,P,01/09/2020 10:40 AM
QL20000259,40.72822,-73.79484,11366,M,01/09/2020 11:48 AM
QL20000274,40.7395,-73.92513,11104,P,01/09/2020 03:58 PM
QL20000278,40.75589,-73.79377,11358,P,01/09/2020 04:53 PM
WL20000360,41.23644,-73.7037,10507,M,01/09/2020 11:17 AM
WL20000362,40.95495,-73.71155,10580,M,01/09/2020 11:55 AM
WL20000363,40.93514,-73.89019,10701,P,01/09/2020 12:18 PM
WL20000369,40.99637,-73.82037,10583,P,01/09/2020 01:22 PM
WL20000373,41.17772,-73.86584,10562,M,01/09/2020 02:10 PM
WL20000374,40.95662,-73.89149,10701,M,01/09/2020 02:14 PM
WL20000379,40.94526,-73.77759,10804,M,01/09/2020 02:55 PM
WL20000386,41.01746,-73.68628,10573,M,01/09/2020 04:13 PM
WL20000387,40.95517,-73.88171,10703,M,01/09/2020 04:24 PM
WL20000389,41.04417,-73.74107,10604,M,01/09/2020 05:34 PM
WL20000393,40.91195,-73.88893,10705,P,01/09/2020 08:55 PM
WL20000395,40.98545,-73.82275,10583,M,01/09/2020 09:50 PM
XL19016774,40.87669,-73.85366,10469,P,12/26/2019 02:13 PM
XL20000404,40.84091,-73.9096,10457,P,01/09/2020 10:22 AM
XL20000405,40.8283,-73.89556,10459,P,01/09/2020 10:48 AM
XL20000409,40.81741,-73.81627,10465,P,01/09/2020 11:05 AM
XL20000438,40.83728,-73.92636,10452,M,01/09/2020 04:10 PM
XL20000447,40.86546,-73.85849,10469,M,01/09/2020 05:15 PM
XL20000458,40.83513,-73.9261,10452,P,01/09/2020 07:32 PM
ML20000549,40.71841,-74.00691,10013,M,01/12/2020 10:49 AM
ML20000551,40.80292,-73.93396,10035,P,01/12/2020 11:01 AM
ML20000561,40.70933,-74.00187,10038,P,01/12/2020 01:54 PM
ML20000571,40.81855,-73.9377,10037,P,01/12/2020 05:44 PM
ML20000573,40.78844,-73.94906,10029,M,01/12/2020 05:30 PM
ML20000591,40.71439,-73.98631,10002,P,01/13/2020 02:29 AM
QL20000376,40.75937,-73.79054,11358,M,01/12/2020 03:52 PM
WL20000494,40.97877,-73.80396,10583,M,01/12/2020 07:56 AM
WL20000495,41.04879,-73.78921,10603,M,01/12/2020 09:06 AM
WL20000496,40.99355,-73.71708,10528,M,01/12/2020 09:51 AM
WL20000497,41.28641,-73.91784,10566,M,01/12/2020 10:37 AM
WL20000500,40.98918,-73.72203,10528,M,01/12/2020 12:04 PM
WL20000501,40.905030000000004,-73.85855,10704,M,01/12/2020 12:53 PM
WL20000502,41.04236,-73.81807,10607,M,01/12/2020 01:12 PM
WL20000507,40.92407,-73.86905,10704,P,01/12/2020 02:31 PM
WL20000512,41.07062,-73.84577,10591,M,01/12/2020 07:11 PM
ML20000462,40.79296,-73.97689,10024,P,01/10/2020 11:44 AM
ML20000487,40.74842,-73.99999,10001,M,01/10/2020 06:03 PM
QL20000289,40.74896,-73.77028,11364,M,01/10/2020 08:45 AM
QL20000290,40.7684,-73.93585,11106,M,01/10/2020 09:01 AM
QL20000302,40.75034,-73.77191,11364,M,01/10/2020 11:16 AM
QL20000303,40.75096,-73.82345,11355,M,01/10/2020 11:44 AM
QL20000304,40.76261,-73.90611,11103,P,01/10/2020 11:46 AM
QL20000312,40.74701,-73.89596,11377,M,01/10/2020 12:41 PM
QL20000339,40.7618,-73.77571,11361,M,01/10/2020 05:26 PM
QL20000347,40.75925,-73.79197,11358,P,01/10/2020 10:46 PM
WL20000407,41.16364,-73.77689,10514,M,01/10/2020 09:21 AM
WL20000410,40.92032,-73.77092,10801,M,01/10/2020 09:40 AM
WL20000420,41.08195,-73.86932,10591,P,01/10/2020 11:08 AM
WL20000436,41.26164,-73.91933,10567,M,01/10/2020 12:48 PM
WL20000437,41.1608,-73.84778,10510,M,01/10/2020 01:06 PM
WL20000446,41.16142,-73.77596,10514,M,01/10/2020 03:42 PM
XL20000468,40.83457,-73.89123,10460,P,01/10/2020 09:11 AM
XL20000471,40.83949,-73.91777,10452,P,01/10/2020 09:56 AM
XL20000477,40.89264,-73.8426,10466,P,01/10/2020 10:38 AM
XL20000511,40.83477,-73.92309,10452,P,01/10/2020 02:42 PM
QL20000357,40.75294,-73.92281,11101,M,01/11/2020 11:39 AM
WL20000467,40.97529,-73.80916,10583,M,01/11/2020 07:40 AM
WL20000470,41.20883,-73.74178,10549,P,01/11/2020 09:40 AM
WL20000480,40.99928,-73.6722,10573,P,01/11/2020 12:37 PM
ML20000606,40.76764,-73.9616,10021,P,01/13/2020 11:00 AM
ML20000628,40.75525,-73.96358,10022,P,01/13/2020 03:19 PM
QL20000381,40.74795,-73.91584,11104,P,01/13/2020 07:25 AM
QL20000384,40.74074,-73.92234,11104,M,01/13/2020 09:30 AM
QL20000388,40.74256,-73.91772,11104,P,01/13/2020 10:05 AM
QL20000391,40.73783,-73.7558,11364,M,01/13/2020 10:27 AM
QL20000395,40.75158,-73.7146,11005,P,01/13/2020 10:56 AM
QL20000396,40.72972,-73.82441,11367,P,01/13/2020 11:05 AM
QL20000397,40.73902,-73.93566,11101,P,01/13/2020 11:10 AM
QL20000399,40.76328,-73.77423,11361,P,01/13/2020 11:25 AM
QL20000402,40.75853,-73.94157,11101,M,01/13/2020 12:13 PM
QL20000411,40.72565,-73.79807,11366,P,01/13/2020 01:30 PM
QL20000416,40.767830000000004,-73.92766,11102,P,01/13/2020 02:22 PM
QL20000418,40.76844,-73.92716,11102,P,01/13/2020 03:08 PM
QL20000423,40.73589,-73.77347,11366,P,01/13/2020 04:08 PM
QL20000428,40.72259,-73.80103,11366,M,01/13/2020 06:11 PM
QL20000429,40.7225,-73.80099,11432,M,01/13/2020 06:29 PM
WL20000520,40.98031,-73.79766,10583,M,01/13/2020 08:06 AM
WL20000521,40.9187,-73.87539,10705,M,01/13/2020 08:29 AM
WL20000524,41.15372,-73.82929,10510,P,01/13/2020 09:42 AM
WL20000527,40.98046,-73.79807,10583,M,01/13/2020 10:19 AM
WL20000529,41.01274,-73.67476,10573,M,01/13/2020 10:30 AM
WL20000531,40.93565,-73.86874,10701,P,01/13/2020 10:55 AM
WL20000533,41.12811,-73.71793,10504,M,01/13/2020 11:12 AM
WL20000537,40.91946,-73.87123,10704,P,01/13/2020 11:56 AM
WL20000538,41.04417,-73.86513,10533,P,01/13/2020 12:02 PM
WL20000544,40.99869,-73.75639,10605,M,01/13/2020 01:02 PM
WL20000546,41.04647,-73.79491,10603,M,01/13/2020 01:38 PM
WL20000549,40.93849,-73.82794,10708,P,01/13/2020 01:49 PM
WL20000550,41.05926,-73.86157,10591,M,01/13/2020 02:04 PM
WL20000551,41.01866,-73.67935,10573,M,01/13/2020 02:10 PM
WL20000553,40.98446,-73.68062,10580,M,01/13/2020 02:13 PM
WL20000556,40.93345,-73.88874,10701,P,01/13/2020 02:31 PM
WL20000561,40.98019,-73.79729,10583,M,01/13/2020 03:25 PM
WL20000569,40.93167,-73.80663,10708,M,01/13/2020 05:06 PM
XL20000625,40.84369,-73.84733,10461,P,01/13/2020 01:53 PM
XL20000680,40.83163,-73.90051,10456,M,01/13/2020 06:55 PM
ML20000597,40.74197,-73.98087,10016,M,01/13/2020 09:49 AM
ML20000600,40.72266,-73.9768,10009,P,01/13/2020 09:56 AM
WL20000601,41.00653,-73.66313,10573,M,01/14/2020 01:19 PM
ML20000662,40.71599,-73.9867,10002,M,01/14/2020 10:00 AM
ML20000671,40.77912,-73.97481,10023,P,01/14/2020 11:20 AM
ML20000672,40.73559,-74.00305,10014,P,01/14/2020 11:27 AM
ML20000686,40.75118,-73.989,10001,P,01/14/2020 01:52 PM
ML20000699,40.73057,-74.00679,10014,P,01/14/2020 05:06 PM
ML20000710,40.8013,-73.95955000000001,10026,P,01/14/2020 08:35 PM
ML20000712,40.80147,-73.96046,10025,P,01/14/2020 08:47 PM
QL20000433,40.75853,-73.94157,11101,M,01/14/2020 09:02 AM
QL20000444,40.76564,-73.93915,11106,P,01/14/2020 11:21 AM
QL20000453,40.72741,-73.82448,11367,M,01/14/2020 12:55 PM
QL20000459,40.76686,-73.93742,11106,P,01/14/2020 01:11 PM
QL20000467,40.73506,-73.79752,11365,P,01/14/2020 04:34 PM
WL20000581,40.95903,-73.83339,10710,P,01/14/2020 08:13 AM
WL20000583,40.99628,-73.80183,10583,M,01/14/2020 08:41 AM
WL20000588,40.93297,-73.77656,10804,M,01/14/2020 10:55 AM
