TicketNumber,Latitude,Longitude,Zip,ClassificationType,CensusTract,CensusBlock,CountyName,Date,Time,Hour
ML19019328,40.72216,-74.01168,10013,M,39,2000,New York County,12/08/2019,12:21 PM,12 PM
ML19019360,40.71669,-73.9863,10002,P,14.02,2006,New York County,12/09/2019,12:26 AM,12 AM
ML19019364,40.72256,-74.00142,10013,P,47,2010,New York County,12/09/2019,08:52 AM,08 AM
ML19019382,40.7781,-73.94555,10128,M,152,5000,New York County,12/09/2019,02:57 PM,02 PM
ML19019440,40.74263,-74.00043,10011,P,89,2001,New York County,12/10/2019,03:58 PM,03 PM
QL19009326,40.73931,-73.78566,11365,M,1347.01,1002,Queens County,12/08/2019,10:32 AM,10 AM
QL19009332,40.73488,-73.74941,11427,P,1291.02,4005,Queens County,12/08/2019,07:55 PM,07 PM
QL19009334,40.74209,-73.77583,11365,M,1347.02,2001,Queens County,12/08/2019,08:50 PM,08 PM
QL19009338,40.73057,-73.72517,11426,P,1621,1001,Queens County,12/09/2019,08:37 AM,08 AM
WL19014689,40.98181,-73.70115,10580,M,77,3006,Westchester County,12/08/2019,10:17 AM,10 AM
WL19014762,41.26099,-73.77553,10598,M,148.09,4043,Westchester County,12/10/2019,01:13 PM,01 PM
XL19015908,40.84474,-73.90759,10457,M,229.02,1000,Bronx County,12/08/2019,10:11 AM,10 AM
XL19015986,40.83082,-73.8172,10465,P,160,1009,Bronx County,12/10/2019,09:01 AM,09 AM
XL19015991,40.8192,-73.89576,10459,M,87,2002,Bronx County,12/10/2019,10:07 AM,10 AM
XL19016000,40.80867,-73.85194,10473,M,4,3002,Bronx County,12/10/2019,12:05 PM,12 PM
ML19018545,40.85471,-73.92798,10040,P,277,3001,New York County,11/23/2019,01:45 PM,01 PM
ML19019473,40.7435,-74.00185,10011,M,89,2001,New York County,12/11/2019,11:54 AM,11 AM
ML19019474,40.74613,-73.99788,10001,M,93,1002,New York County,12/11/2019,11:55 AM,11 AM
ML19019504,40.78855,-73.94898,10029,M,166,6000,New York County,12/11/2019,08:26 PM,08 PM
QL19009422,40.74645,-73.82433,11355,P,799,1005,Queens County,12/11/2019,11:22 AM,11 AM
WL19014785,40.97056,-73.78154,10804,M,68.01,3011,Westchester County,12/11/2019,09:49 AM,09 AM
WL19014798,41.22299,-73.71501,10507,M,128.04,1027,Westchester County,12/11/2019,12:00 PM,12 PM
WL19014811,40.94234,-73.75574,10538,M,69,3036,Westchester County,12/11/2019,04:20 PM,04 PM
ML19019523,40.73712,-74.00575,10014,P,77,3007,New York County,12/12/2019,09:56 AM,09 AM
ML19019532,40.7238,-73.98564,10009,M,32,4000,New York County,12/12/2019,11:32 AM,11 AM
ML19019555,40.75341,-73.99632,10001,M,111,2005,New York County,12/12/2019,10:33 PM,10 PM
QL19009497,40.78775,-73.78822,11360,P,997.05,1020,Queens County,12/12/2019,09:14 PM,09 PM
WL19014826,41.06227,-73.8088,10523,M,110,1016,Westchester County,12/12/2019,09:05 AM,09 AM
WL19014837,41.15879,-73.77559,10514,M,131.04,4017,Westchester County,12/12/2019,12:03 PM,12 PM
WL19014844,41.18579,-73.73719,10549,M,131.02,4001,Westchester County,12/12/2019,01:48 PM,01 PM
WL19014851,40.91237,-73.84387,10550,P,36,2008,Westchester County,12/12/2019,05:01 PM,05 PM
WL19014853,40.99958,-73.7466,10605,M,97.03,3020,Westchester County,12/12/2019,05:19 PM,05 PM
WL19014862,41.00974,-73.81111,10583,M,108.01,2018,Westchester County,12/12/2019,08:43 PM,08 PM
WL19014863,40.94951,-73.71333,10580,M,75,3026,Westchester County,12/12/2019,09:53 PM,09 PM
ML19019584,40.75009,-73.99499,10001,P,101,1005,New York County,12/13/2019,01:18 PM,01 PM
QL19009529,40.76987,-73.77506,11361,M,1097,2001,Queens County,12/13/2019,05:14 PM,05 PM
QL19009535,40.75014,-73.80746,11358,M,1207.01,2004,Queens County,12/13/2019,09:44 PM,09 PM
WL19014871,40.95448,-73.8207,10707,M,48.02,5008,Westchester County,12/13/2019,07:46 AM,07 AM
WL19014873,40.99955,-73.76225,10605,P,97.01,1011,Westchester County,12/13/2019,08:25 AM,08 AM
WL19014876,41.0644,-73.76751,10603,P,123.01,1025,Westchester County,12/13/2019,09:02 AM,09 AM
WL19014880,40.96353,-73.77774,10804,M,68.02,2015,Westchester County,12/13/2019,09:28 AM,09 AM
WL19014883,41.13585,-73.79028,10570,M,122.02,6007,Westchester County,12/13/2019,09:53 AM,09 AM
WL19014884,40.96546,-73.86791,10710,M,19,1008,Westchester County,12/13/2019,10:23 AM,10 AM
WL19014891,41.0609,-73.86277,10591,M,114.02,1005,Westchester County,12/13/2019,11:12 AM,11 AM
WL19014907,41.03845,-73.74811,10604,M,87,3000,Westchester County,12/13/2019,01:42 PM,01 PM
WL19014911,41.03632,-73.83689,10607,P,111.01,4008,Westchester County,12/13/2019,02:00 PM,02 PM
WL19014912,41.01425,-73.84056,10502,M,106,2004,Westchester County,12/13/2019,02:12 PM,02 PM
WL19014916,40.99618,-73.82048,10583,M,107.01,4014,Westchester County,12/13/2019,04:01 PM,04 PM
WL19014917,41.10571,-73.79385,10532,M,120,3019,Westchester County,12/13/2019,04:10 PM,04 PM
WL19014921,40.9805,-73.83082,10710,M,21.01,2008,Westchester County,12/13/2019,05:02 PM,05 PM
WL19014925,41.20606,-73.89231,10520,M,139,3005,Westchester County,12/13/2019,09:06 PM,09 PM
WL19014932,40.92857,-73.79673,10804,P,66,2008,Westchester County,12/14/2019,03:29 AM,03 AM
XL19016133,40.84671,-73.88547,10460,M,371,1002,Bronx County,12/13/2019,09:23 AM,09 AM
XL19016146,40.87875,-73.84629,10469,P,386,2007,Bronx County,12/13/2019,11:56 AM,11 AM
XL19016163,40.86402,-73.86327,10467,P,328,1003,Bronx County,12/13/2019,04:20 PM,04 PM
ML19019629,40.73634,-74.00832,10014,P,79,2002,New York County,12/14/2019,10:28 AM,10 AM
QL19009542,40.77655,-73.7735,11360,P,1093,2005,Queens County,12/14/2019,10:36 AM,10 AM
WL19014941,41.20896,-73.88792,10520,M,139,4026,Westchester County,12/14/2019,09:59 AM,09 AM
WL19014943,40.94641,-73.7634,10538,M,70,3000,Westchester County,12/14/2019,09:49 AM,09 AM
WL19014945,40.9378,-73.72963,10543,P,72,2009,Westchester County,12/14/2019,11:09 AM,11 AM
WL19014949,40.93824,-73.86559,10701,P,23,1000,Westchester County,12/14/2019,11:54 AM,11 AM
WL19014956,40.99481,-73.78076,10583,M,99,3008,Westchester County,12/14/2019,01:11 PM,01 PM
WL19014973,40.97671,-73.77443,10583,P,98,1015,Westchester County,12/14/2019,06:45 PM,06 PM
XL19016123,40.82798,-73.92585,10452,M,63.02,1003,Bronx County,12/12/2019,08:35 PM,08 PM
ML19019678,40.72398,-73.98605,10009,M,32,4000,New York County,12/15/2019,09:58 AM,09 AM
QL19009566,40.73512,-73.70555,11001,P,1579.03,3000,Queens County,12/15/2019,10:52 AM,10 AM
WL19014984,40.9984,-73.71722,10580,M,85,2007,Westchester County,12/15/2019,09:49 AM,09 AM
WL19015001,41.16409,-73.77739,10514,M,131.04,3021,Westchester County,12/16/2019,03:42 AM,03 AM
ML19019021,40.77458,-73.96402,10021,P,130,4000,New York County,12/02/2019,01:46 PM,01 PM
ML19019721,40.7453,-73.98685,10001,M,76,2004,New York County,12/16/2019,09:41 AM,09 AM
ML19019737,40.72605,-74.00962,10013,M,37,1009,New York County,12/16/2019,01:07 PM,01 PM
QL19009583,40.73467,-73.74934,11427,M,1291.02,4004,Queens County,12/16/2019,10:44 AM,10 AM
QL19009591,40.72132,-73.81138,11367,P,779.04,2003,Queens County,12/16/2019,12:28 PM,12 PM
QL19009593,40.72203,-73.81674,11367,M,779.04,4000,Queens County,12/16/2019,12:53 PM,12 PM
QL19009602,40.77505,-73.9193,11102,P,97,3000,Queens County,12/16/2019,07:27 PM,07 PM
QL19009607,40.73445,-73.74931,11427,M,1291.02,4005,Queens County,12/16/2019,11:00 PM,11 PM
WL19015010,41.26082,-73.94069,10511,P,140,1019,Westchester County,12/16/2019,10:31 AM,10 AM
WL19015027,40.92655,-73.73426,10543,P,72,4002,Westchester County,12/16/2019,01:29 PM,01 PM
WL19015037,40.95432,-73.81212,10709,P,51,2006,Westchester County,12/16/2019,03:11 PM,03 PM
WL19015045,40.98579,-73.83281,10583,M,107.01,2019,Westchester County,12/16/2019,05:00 PM,05 PM
WL19015048,40.95252,-73.86607,10701,P,17.01,4008,Westchester County,12/16/2019,05:16 PM,05 PM
XL19016269,40.86115,-73.897,10458,M,237.02,1001,Bronx County,12/16/2019,08:21 AM,08 AM
XL19016292,40.82188,-73.80963,10465,M,138,1026,Bronx County,12/16/2019,01:21 PM,01 PM
XL19016314,40.89674,-73.84227,10466,M,448,1002,Bronx County,12/16/2019,06:19 PM,06 PM
ML19009535,40.77043,-73.96011,10021,M,126.01,1001,New York County,06/19/2019,09:48 AM,09 AM
ML19018792,40.75664,-73.98046,10036,P,96,1003,New York County,11/27/2019,11:44 AM,11 AM
ML19019780,40.76903,-73.9849,10019,M,145,4000,New York County,12/17/2019,07:48 AM,07 AM
ML19019789,40.74595,-73.99801,10011,M,91,3000,New York County,12/17/2019,11:15 AM,11 AM
QL19009647,40.76435,-73.7344,11362,P,1507.02,2009,Queens County,12/17/2019,06:56 PM,06 PM
WL19014408,41.02048,-73.78994,10530,M,108.04,1020,Westchester County,12/02/2019,10:20 AM,10 AM
WL19015068,40.94899,-73.83811,10708,M,22.02,3010,Westchester County,12/17/2019,08:41 AM,08 AM
WL19015106,40.94811,-73.77764,10804,P,67,1008,Westchester County,12/17/2019,05:28 PM,05 PM
XL19016295,40.90378,-73.89929,10471,P,345,2002,Bronx County,12/16/2019,01:58 PM,01 PM
ML19019847,40.74735,-73.99699,10001,P,95,2003,New York County,12/18/2019,11:00 AM,11 AM
ML19019861,40.72094,-73.9888,10002,P,30.01,2002,New York County,12/18/2019,01:48 PM,01 PM
WL19015124,40.98517,-73.83343,10710,M,21.01,2000,Westchester County,12/18/2019,08:34 AM,08 AM
WL19015125,41.25351,-73.93331,10548,P,146.04,1004,Westchester County,12/18/2019,08:49 AM,08 AM
XL19016387,40.87915,-73.85931,10467,P,380,2000,Bronx County,12/18/2019,07:28 AM,07 AM
ML19016350,40.80008,-73.95494,10026,P,216,5000,New York County,10/21/2019,10:35 AM,10 AM
ML19017813,40.74763,-73.97478,10016,P,78,1000,New York County,11/12/2019,08:10 AM,08 AM
ML19019901,40.75249,-73.98058,10017,P,82,1001,New York County,12/19/2019,11:49 AM,11 AM
ML19019909,40.72224,-74.00078,10013,P,47,2011,New York County,12/19/2019,01:21 PM,01 PM
QL19008983,40.74394,-73.70111,11040,M,1579.01,3000,Queens County,11/26/2019,01:35 PM,01 PM
WL19015172,40.93082,-73.85985,10704,P,24.05,1006,Westchester County,12/19/2019,09:06 AM,09 AM
QL19009718,40.71876,-73.74409,11428,M,542,2009,Queens County,12/20/2019,06:50 AM,06 AM
QL19009720,40.73194,-73.80404,11365,P,1223,3009,Queens County,12/20/2019,08:27 AM,08 AM
QL19009753,40.71876,-73.74409,11428,M,542,2009,Queens County,12/20/2019,04:26 PM,04 PM
WL19015214,40.94272,-73.85485,10701,M,23,2000,Westchester County,12/20/2019,09:38 AM,09 AM
WL19015215,41.16441,-73.77797,10514,M,131.04,3025,Westchester County,12/20/2019,09:44 AM,09 AM
WL19015218,40.96446,-73.87887,10703,P,8.01,1002,Westchester County,12/20/2019,10:21 AM,10 AM
WL19015219,40.92019,-73.85088,10704,P,24.03,1008,Westchester County,12/20/2019,10:24 AM,10 AM
WL19015230,40.93214,-73.88721,10701,M,11.02,3001,Westchester County,12/20/2019,01:28 PM,01 PM
WL19015236,40.94702,-73.85827,10701,M,17.02,2023,Westchester County,12/20/2019,03:25 PM,03 PM
WL19015237,40.94723,-73.85818,10701,M,17.02,2023,Westchester County,12/20/2019,03:41 PM,03 PM
WL19015258,40.96514,-73.81758,10709,P,50.02,2020,Westchester County,12/20/2019,10:44 PM,10 PM
ML19019998,40.74104,-73.97865,10016,P,66,2000,New York County,12/21/2019,01:00 AM,01 AM
ML19020011,40.83692,-73.94269,10032,M,245,4001,New York County,12/21/2019,09:14 AM,09 AM
QL19009767,40.75911,-73.7905,11358,P,1175,4007,Queens County,12/21/2019,09:04 AM,09 AM
QL19009777,40.74747,-73.71435,11004,M,1551.04,4002,Queens County,12/21/2019,12:02 PM,12 PM
QL19009780,40.7227,-73.80072,11366,M,1265,1000,Queens County,12/21/2019,01:19 PM,01 PM
QL19009781,40.74747,-73.71435,11004,M,1551.04,4002,Queens County,12/21/2019,01:29 PM,01 PM
QL19009782,40.73985,-73.9279,11101,P,189,2006,Queens County,12/21/2019,03:51 PM,03 PM
QL19009784,40.7605,-73.78052,11361,P,1463,1003,Queens County,12/21/2019,04:06 PM,04 PM
QL19009785,40.75845,-73.78123,11361,P,1463,1005,Queens County,12/21/2019,05:15 PM,05 PM
QL19009787,40.7225,-73.80099,11432,M,1265,1000,Queens County,12/21/2019,05:32 PM,05 PM
QL19009788,40.73466,-73.71296,11001,P,1571.01,7012,Queens County,12/21/2019,06:26 PM,06 PM
WL19015277,41.05008,-73.81976,10523,M,112,1018,Westchester County,12/21/2019,12:00 PM,12 PM
WL19015286,41.29717,-73.89402,10566,P,144,3000,Westchester County,12/21/2019,01:26 PM,01 PM
WL19015295,40.93457,-73.89128,10701,P,11.01,2004,Westchester County,12/21/2019,06:00 PM,06 PM
WL19015300,40.92993,-73.80587,10708,M,52,1010,Westchester County,12/21/2019,07:18 PM,07 PM
WL19015303,41.15476,-73.85102,10510,M,132.02,2014,Westchester County,12/21/2019,09:38 PM,09 PM
WL19015308,41.29717,-73.89402,10566,P,144,3000,Westchester County,12/22/2019,01:19 AM,01 AM
XL19016545,40.88585,-73.85691,10466,P,406,1004,Bronx County,12/21/2019,10:26 AM,10 AM
XL19016547,40.81352,-73.88479,10474,M,93.01,5003,Bronx County,12/21/2019,11:05 AM,11 AM
XL19016563,40.82995,-73.86026,10472,P,72,1003,Bronx County,12/21/2019,05:45 PM,05 PM
XL19016569,40.82996,-73.86015,10472,P,40.01,1000,Bronx County,12/21/2019,09:35 PM,09 PM
ML19020049,40.86695,-73.92333,10034,M,295,3001,New York County,12/22/2019,08:39 AM,08 AM
QL19009803,40.72309,-73.80091,11366,P,1241,2007,Queens County,12/22/2019,01:04 PM,01 PM
QL19009812,40.75937,-73.79054,11358,M,1175,4007,Queens County,12/22/2019,04:43 PM,04 PM
WL19015310,40.92764,-73.74636,10538,M,71,1005,Westchester County,12/22/2019,08:10 AM,08 AM
WL19015314,41.20985,-73.88973,10520,P,139,4000,Westchester County,12/22/2019,10:00 AM,10 AM
WL19015323,40.95307,-73.71326,10580,M,75,3023,Westchester County,12/22/2019,12:47 PM,12 PM
WL19015334,40.94601,-73.88723,10703,M,6.01,2001,Westchester County,12/22/2019,08:10 PM,08 PM
WL19015336,40.96556,-73.86969,10710,P,19,1007,Westchester County,12/22/2019,09:11 PM,09 PM
ML19020087,40.78297,-73.9553,10128,P,150.02,1000,New York County,12/23/2019,09:18 AM,09 AM
ML19020098,40.79092,-73.93913,10029,P,170,5000,New York County,12/23/2019,11:16 AM,11 AM
ML19020114,40.7179,-74.00624,10013,M,33,2007,New York County,12/23/2019,03:38 PM,03 PM
ML19020123,40.74294,-73.99085,10010,P,58,1007,New York County,12/23/2019,05:47 PM,05 PM
ML19020132,40.72094,-73.9888,10002,M,30.01,2002,New York County,12/23/2019,10:43 PM,10 PM
QL19009826,40.73093,-73.8005,11365,P,1241,1002,Queens County,12/23/2019,10:57 AM,10 AM
QL19009828,40.73061,-73.79381,11365,P,1247,2009,Queens County,12/23/2019,11:18 AM,11 AM
QL19009836,40.73093,-73.8005,11365,P,1241,1002,Queens County,12/23/2019,12:44 PM,12 PM
QL19009838,40.77363,-73.77766,11360,P,1093,3006,Queens County,12/23/2019,01:13 PM,01 PM
WL19015344,40.92458,-73.76834,10801,M,59.02,2002,Westchester County,12/23/2019,10:00 AM,10 AM
XL19016627,40.82925,-73.85994,10472,P,72,1002,Bronx County,12/23/2019,08:02 AM,08 AM
XL19016628,40.90218,-73.84161,10466,M,444,4001,Bronx County,12/23/2019,08:10 AM,08 AM
XL19016665,40.87471,-73.90357,10463,M,273,1003,Bronx County,12/23/2019,02:55 PM,02 PM
ML19020148,40.70577,-74.00697,10005,P,7,1005,New York County,12/24/2019,12:11 PM,12 PM
QL19009871,40.74568,-73.78291,11365,P,1409.02,1000,Queens County,12/24/2019,11:39 PM,11 PM
QL19009872,40.74573,-73.78275,11365,P,1409.02,1000,Queens County,12/24/2019,11:40 PM,11 PM
WL19015392,40.99819,-73.7703,10583,M,99,2001,Westchester County,12/24/2019,09:57 AM,09 AM
WL19015395,40.94234,-73.75574,10538,M,69,3036,Westchester County,12/24/2019,10:52 AM,10 AM
WL19015398,40.9794,-73.78166,10583,M,68.01,2010,Westchester County,12/24/2019,12:15 PM,12 PM
WL19015501,40.93668,-73.86166,10701,M,23,2012,Westchester County,12/24/2019,07:58 PM,07 PM
WL19015515,40.94911,-73.86961,10701,M,17.01,6009,Westchester County,12/24/2019,10:03 PM,10 PM
WL19015519,40.94575,-73.87139,10701,P,17.01,3003,Westchester County,12/24/2019,10:55 PM,10 PM
WL19015544,40.96477,-73.86976,10710,P,19,1007,Westchester County,12/25/2019,03:09 AM,03 AM
ML19020183,40.73556,-73.98659,10003,M,50,5000,New York County,12/25/2019,01:32 PM,01 PM
ML19020196,40.71008,-74.00744,10038,P,15.01,1015,New York County,12/25/2019,08:40 PM,08 PM
QL19009882,40.75092,-73.79044,11358,M,1459,3002,Queens County,12/25/2019,10:03 PM,10 PM
WL19015548,40.99819,-73.7703,10583,M,99,2001,Westchester County,12/25/2019,10:11 AM,10 AM
WL19015557,40.98407,-73.69631,10580,M,77,3005,Westchester County,12/25/2019,02:55 PM,02 PM
WL19015568,40.97638,-73.78998,10583,P,68.01,4011,Westchester County,12/25/2019,11:41 PM,11 PM
ML19020218,40.83728,-73.94008,10032,M,245,1001,New York County,12/26/2019,01:41 PM,01 PM
ML19020240,40.74325,-73.99158,10010,P,58,1007,New York County,12/27/2019,12:38 AM,12 AM
QL19009894,40.75822,-73.94117,11101,M,85,2002,Queens County,12/26/2019,10:07 AM,10 AM
QL19009909,40.76764,-73.78624,11361,M,1099,1006,Queens County,12/26/2019,03:43 PM,03 PM
QL19009910,40.7376,-73.71534,11426,M,1571.01,6007,Queens County,12/26/2019,04:49 PM,04 PM
WL19015573,40.96256,-73.80404,10709,M,50.02,3013,Westchester County,12/26/2019,07:37 AM,07 AM
WL19015585,41.03575,-73.86528,10533,M,113,4015,Westchester County,12/26/2019,12:57 PM,12 PM
WL19015590,41.04802,-73.81022,10523,M,112,2040,Westchester County,12/26/2019,02:16 PM,02 PM
WL19015603,40.9093,-73.78028,10801,M,59.01,3002,Westchester County,12/26/2019,05:34 PM,05 PM
WL19015614,40.94845,-73.77245,10804,M,67,1008,Westchester County,12/26/2019,10:09 PM,10 PM
XL19016755,40.90346,-73.8549,10470,P,414,4013,Bronx County,12/26/2019,09:46 AM,09 AM
XL19016794,40.81735,-73.91971,10451,M,65,3000,Bronx County,12/26/2019,07:05 PM,07 PM
QL19009948,40.74169,-73.81303,11355,M,1215,2007,Queens County,12/27/2019,04:35 PM,04 PM
WL19015619,40.90573,-73.83176,10550,M,32,2004,Westchester County,12/27/2019,07:49 AM,07 AM
WL19015620,41.04152,-73.86186,10533,M,113,1007,Westchester County,12/27/2019,07:49 AM,07 AM
WL19015625,41.04198,-73.86012,10533,M,113,1007,Westchester County,12/27/2019,10:00 AM,10 AM
WL19015634,40.98282,-73.83731,10710,P,21.01,2004,Westchester County,12/27/2019,11:06 AM,11 AM
WL19015639,41.15513,-73.85579,10510,M,132.02,2012,Westchester County,12/27/2019,11:40 AM,11 AM
WL19015647,40.91104,-73.86406,10704,M,15.04,4006,Westchester County,12/27/2019,12:14 PM,12 PM
WL19015653,40.9359,-73.8564,10704,P,23,2026,Westchester County,12/27/2019,01:25 PM,01 PM
WL19015658,40.99213,-73.66738,10573,P,78,3003,Westchester County,12/27/2019,02:23 PM,02 PM
WL19015671,41.05217,-73.81356,10523,P,112,3025,Westchester County,12/27/2019,06:57 PM,06 PM
WL19015673,40.92972,-73.82431,10552,M,151,2013,Westchester County,12/27/2019,07:20 PM,07 PM
WL19015677,40.95094,-73.69116,10580,M,76,2005,Westchester County,12/27/2019,09:26 PM,09 PM
WL19015680,40.91975,-73.7705,10801,P,59.02,2017,Westchester County,12/28/2019,12:36 AM,12 AM
QL19009955,40.74737,-73.71608,11004,M,1551.04,4003,Queens County,12/28/2019,08:43 AM,08 AM
QL19009959,40.75725,-73.81047,11355,P,1189,1007,Queens County,12/28/2019,12:49 PM,12 PM
QL19009964,40.74219,-73.93408,11101,P,199.01,1004,Queens County,12/28/2019,08:46 PM,08 PM
WL19015684,40.89718,-73.80397,10803,M,55,1017,Westchester County,12/28/2019,05:30 AM,05 AM
WL19015695,41.04658,-73.86079,10533,M,113,1013,Westchester County,12/28/2019,12:28 PM,12 PM
WL19015703,40.99519,-73.75809,10583,M,98,2000,Westchester County,12/28/2019,04:47 PM,04 PM
WL19015709,40.91945,-73.8085,10803,M,53,2002,Westchester County,12/28/2019,06:28 PM,06 PM
WL19015717,40.9467,-73.89187,10703,M,6.02,4001,Westchester County,12/29/2019,12:37 AM,12 AM
ML19020315,40.78967,-73.96985,10024,P,177,6000,New York County,12/29/2019,07:22 AM,07 AM
ML19020324,40.71693,-73.9987,10013,M,29.02,2001,New York County,12/29/2019,02:43 PM,02 PM
ML19020325,40.78844,-73.94906,10029,M,166,6000,New York County,12/29/2019,02:46 PM,02 PM
WL19015725,40.99255,-73.76091,10583,P,98,2026,Westchester County,12/29/2019,11:20 AM,11 AM
WL19015733,41.02727,-73.80238,10530,M,108.03,2013,Westchester County,12/29/2019,05:18 PM,05 PM
XL19016894,40.88973,-73.83673,10466,P,426,3000,Bronx County,12/29/2019,09:08 PM,09 PM
QL19010003,40.71964,-73.82554,11367,P,779.03,3002,Queens County,12/30/2019,06:16 PM,06 PM
XL19016915,40.8747,-73.90357,10463,P,273,1003,Bronx County,12/30/2019,12:50 PM,12 PM
ML19020412,40.74907,-73.98603,10016,M,76,1000,New York County,12/31/2019,01:21 PM,01 PM
QL19010031,40.74565,-73.92484,11104,P,181.01,2001,Queens County,12/31/2019,04:58 PM,04 PM
WL19015783,41.07626,-73.85834,10591,M,115,1022,Westchester County,12/31/2019,09:47 AM,09 AM
WL19015786,40.94443,-73.77646,10804,M,67,1016,Westchester County,12/31/2019,10:08 AM,10 AM
WL19015788,41.15513,-73.85579,10510,M,132.02,2012,Westchester County,12/31/2019,10:30 AM,10 AM
WL19015790,40.92179,-73.88809,10705,P,13.01,2013,Westchester County,12/31/2019,11:02 AM,11 AM
WL19015791,41.13282,-73.86576,10510,M,132.01,2052,Westchester County,12/31/2019,11:38 AM,11 AM
WL19015796,41.04802,-73.81022,10523,M,112,2040,Westchester County,12/31/2019,12:29 PM,12 PM
WL19015799,40.92168,-73.75433,10538,M,71,3014,Westchester County,12/31/2019,01:02 PM,01 PM
WL19015805,41.06688,-73.85541,10591,M,114.01,2004,Westchester County,12/31/2019,03:56 PM,03 PM
ML20000025,40.72011,-74.00288,10013,P,47,2014,New York County,01/01/2020,08:32 PM,08 PM
WL20000016,41.03897,-73.81011,10607,P,109.03,4041,Westchester County,01/01/2020,06:26 PM,06 PM
XL20000023,40.81011,-73.92359,10454,M,39,2001,Bronx County,01/01/2020,08:23 PM,08 PM
ML20000034,40.76144,-73.95772,10065,P,106.02,1000,New York County,01/02/2020,07:47 AM,07 AM
ML20000048,40.70831,-74.00967,10005,P,7,1000,New York County,01/02/2020,11:03 AM,11 AM
ML20000070,40.76522,-73.98917,10019,M,133,4001,New York County,01/02/2020,06:42 PM,06 PM
QL20000009,40.77278,-73.77558,11361,P,1093,3007,Queens County,01/02/2020,09:09 AM,09 AM
QL20000027,40.73859,-73.79726,11365,M,1215,1000,Queens County,01/02/2020,12:11 PM,12 PM
QL20000034,40.77709,-73.751,11363,M,1483,3017,Queens County,01/02/2020,02:36 PM,02 PM
QL20000035,40.78146,-73.91561,11105,M,103,2001,Queens County,01/02/2020,02:37 PM,02 PM
QL20000039,40.71501,-73.80911,11432,P,230,1001,Queens County,01/02/2020,06:48 PM,06 PM
WL19014605,40.95903,-73.72984,10543,M,74.01,3000,Westchester County,12/06/2019,10:47 AM,10 AM
WL20000024,40.91497,-73.87732,10705,P,14.02,2004,Westchester County,01/02/2020,07:49 AM,07 AM
WL20000025,41.06844,-73.79631,10603,M,109.01,1017,Westchester County,01/02/2020,08:10 AM,08 AM
WL20000027,40.94163,-73.79154,10804,P,67,3010,Westchester County,01/02/2020,09:20 AM,09 AM
WL20000029,41.27285,-73.93081,10566,M,141,3018,Westchester County,01/02/2020,09:40 AM,09 AM
WL20000030,40.97406,-73.77287,10583,M,98,4012,Westchester County,01/02/2020,09:42 AM,09 AM
WL20000034,40.94288,-73.84153,10708,P,22.02,4027,Westchester County,01/02/2020,10:19 AM,10 AM
WL20000038,41.32512,-73.88268,10567,M,147.03,2011,Westchester County,01/02/2020,11:03 AM,11 AM
WL20000039,40.96557,-73.71643,10528,M,84.04,5008,Westchester County,01/02/2020,11:04 AM,11 AM
WL20000042,40.99334,-73.67689,10573,M,79.01,2012,Westchester County,01/02/2020,11:50 AM,11 AM
WL20000051,41.28403,-73.93056,10566,P,141,4003,Westchester County,01/02/2020,02:26 PM,02 PM
WL20000058,41.13895,-73.77188,10570,M,121.01,2019,Westchester County,01/02/2020,04:39 PM,04 PM
WL20000064,41.01403,-73.6601,10573,M,81,1006,Westchester County,01/02/2020,06:09 PM,06 PM
WL20000067,40.89483,-73.7799,10805,M,57.04,2002,Westchester County,01/02/2020,08:40 PM,08 PM
XL20000035,40.87804,-73.83322,10475,P,462.07,3005,Bronx County,01/02/2020,09:53 AM,09 AM
XL20000038,40.86988,-73.90088,10468,P,267.01,1001,Bronx County,01/02/2020,10:21 AM,10 AM
XL20000060,40.85036,-73.78473,10464,P,516.01,1016,Bronx County,01/02/2020,02:36 PM,02 PM
XL20000080,40.84806,-73.78439,10464,P,516.01,3004,Bronx County,01/02/2020,08:58 PM,08 PM
ML20000086,40.77867,-73.97964,10023,P,157,5000,New York County,01/03/2020,07:27 AM,07 AM
ML20000098,40.76302,-73.99364,10036,P,129.02,1008,New York County,01/03/2020,09:51 AM,09 AM
ML20000104,40.72358,-73.99272,10002,P,36.01,3001,New York County,01/03/2020,11:40 AM,11 AM
ML20000109,40.79508,-73.96221,10025,M,189,2001,New York County,01/03/2020,12:46 PM,12 PM
ML20000120,40.70831,-74.00967,10005,P,7,1000,New York County,01/03/2020,01:57 PM,01 PM
ML20000126,40.73986,-73.97775,10016,P,66,8002,New York County,01/03/2020,04:00 PM,04 PM
WL20000077,41.17669,-73.8444,10562,M,135,1007,Westchester County,01/03/2020,09:22 AM,09 AM
WL20000085,41.2931,-73.85318,10547,M,148.05,1023,Westchester County,01/03/2020,10:25 AM,10 AM
WL20000092,40.91572,-73.85657,10704,M,24.03,4025,Westchester County,01/03/2020,11:53 AM,11 AM
WL20000094,41.2926,-73.89829,10566,M,145,1004,Westchester County,01/03/2020,12:39 PM,12 PM
WL20000097,40.96537,-73.73233,10543,P,73,2000,Westchester County,01/03/2020,01:06 PM,01 PM
WL20000108,41.15513,-73.85579,10510,M,132.02,2012,Westchester County,01/03/2020,02:33 PM,02 PM
WL20000109,41.02672,-73.68675,10573,M,83.02,2004,Westchester County,01/03/2020,02:37 PM,02 PM
