TicketNumber,Latitude,Longitude,Zip,ClassificationType,CensusTract,CensusBlock,CountyName,Date,Time,Hour
QL19007058,40.77006,-73.8457,11354,P,907,1029,Queens County,10/02/2019,01:02 PM,01 PM
QL19007363,40.74771,-73.77475,11364,M,1409.01,1008,Queens County,10/14/2019,10:16 AM,10 AM
QL19007441,40.74665,-73.71763,11004,M,1551.04,4004,Queens County,10/16/2019,10:02 AM,10 AM
QL19007859,40.74645,-73.82433,11355,P,799,1005,Queens County,10/26/2019,11:55 AM,11 AM
QL19008127,40.76013,-73.77501,11361,P,1467,3006,Queens County,11/03/2019,03:11 PM,03 PM
QL19008248,40.74726,-73.71899,11004,M,1551.03,5003,Queens County,11/06/2019,11:28 AM,11 AM
QL19008283,40.74348,-73.87057,11373,M,463,2003,Queens County,11/07/2019,08:15 AM,08 AM
QL19008327,40.75178,-73.76709,11364,M,1399,2008,Queens County,11/07/2019,04:47 PM,04 PM
QL19008577,40.74292,-73.77616,11365,M,1347.02,2001,Queens County,11/14/2019,07:09 PM,07 PM
QL19008585,40.76676,-73.76452,11361,M,1113,3008,Queens County,11/15/2019,10:21 AM,10 AM
QL19008627,40.74871,-73.77522,11364,M,1409.01,1001,Queens County,11/16/2019,07:50 PM,07 PM
QL19008716,40.73265,-73.74766,11427,M,1291.02,4007,Queens County,11/19/2019,05:56 PM,05 PM
QL19008745,40.75133,-73.71331,11005,M,1551.04,3000,Queens County,11/20/2019,02:04 PM,02 PM
QL19008776,40.72636,-73.78429,11432,M,1277,2008,Queens County,11/21/2019,10:49 AM,10 AM
QL19008864,40.7391,-73.81825,11367,P,803.02,3014,Queens County,11/23/2019,05:44 PM,05 PM
QL19008929,40.7503,-73.81877,11355,M,1205,1004,Queens County,11/25/2019,12:29 PM,12 PM
QL19008963,40.72236,-73.80969,11366,M,1257,3002,Queens County,11/26/2019,09:37 AM,09 AM
QL19008982,40.78938,-73.82366,11357,M,945,2002,Queens County,11/26/2019,01:16 PM,01 PM
QL19009008,40.74726,-73.71899,11004,M,1551.03,5003,Queens County,11/27/2019,10:31 AM,10 AM
QL19009018,40.78805,-73.84566,11356,M,939,2007,Queens County,11/27/2019,01:35 PM,01 PM
QL19009153,40.75569,-73.82005,11355,P,859,2001,Queens County,12/03/2019,05:58 PM,05 PM
QL19009158,40.75569,-73.82005,11355,M,859,2001,Queens County,12/04/2019,12:41 AM,12 AM
QL19009181,40.75517,-73.76488,11364,M,1441,4001,Queens County,12/04/2019,01:02 PM,01 PM
QL19009199,40.74702,-73.71854,11004,M,1551.04,4004,Queens County,12/04/2019,03:32 PM,03 PM
QL19009212,40.74871,-73.79223,11358,P,1417,2004,Queens County,12/05/2019,09:02 AM,09 AM
QL19009221,40.73488,-73.74941,11427,P,1291.02,4005,Queens County,12/05/2019,11:16 AM,11 AM
QL19009224,40.72777,-73.72577,11426,P,1621,4005,Queens County,12/05/2019,11:39 AM,11 AM
QL19009246,40.75569,-73.82005,11355,M,859,2001,Queens County,12/05/2019,09:07 PM,09 PM
QL19009252,40.74807,-73.72101,11004,P,1567,1000,Queens County,12/06/2019,08:54 AM,08 AM
QL19009253,40.77335,-73.81141,11354,M,1059,2005,Queens County,12/06/2019,09:08 AM,09 AM
QL19009256,40.73466,-73.71296,11001,P,1571.01,7012,Queens County,12/06/2019,09:50 AM,09 AM
QL19009264,40.73859,-73.79726,11365,P,1215,1000,Queens County,12/06/2019,11:54 AM,11 AM
QL19009296,40.70015,-73.78396,11433,M,414,3001,Queens County,12/07/2019,11:11 AM,11 AM
WL17007806,40.99023,-73.8232,10583,M,107.01,2025,Westchester County,08/09/2017,03:23 PM,03 PM
WL18002550,41.03169,-73.86765,10533,M,113,3012,Westchester County,02/15/2018,02:45 PM,02 PM
WL18009064,41.15131,-73.76978,10514,M,131.02,3032,Westchester County,08/10/2018,09:33 AM,09 AM
WL19000217,41.02267,-73.87048,10522,M,113,3025,Westchester County,01/07/2019,02:50 PM,02 PM
WL19000325,40.91821,-73.82872,10550,M,40.02,1000,Westchester County,01/10/2019,11:06 AM,11 AM
WL19000383,41.20206,-73.64379,10506,P,127,2004,Westchester County,01/11/2019,10:03 PM,10 PM
WL19000570,40.89496,-73.77982,10805,M,57.04,2002,Westchester County,01/14/2019,03:24 PM,03 PM
WL19000619,40.93447,-73.79094,10804,M,67,4012,Westchester County,01/15/2019,02:43 PM,02 PM
WL19000734,40.96744,-73.73648,10543,M,73,2011,Westchester County,01/18/2019,08:51 AM,08 AM
WL19000754,40.9279,-73.83229,10552,M,151,3013,Westchester County,01/18/2019,01:11 PM,01 PM
WL19001552,41.01017,-73.754,10605,M,97.01,2004,Westchester County,02/04/2019,08:28 AM,08 AM
WL19001708,40.91508,-73.84718,10550,M,37,3009,Westchester County,02/06/2019,10:24 AM,10 AM
WL19001720,40.94931,-73.83468,10708,M,22.02,3003,Westchester County,02/06/2019,12:43 PM,12 PM
WL19001940,41.04208,-73.74286,10604,M,87,1013,Westchester County,02/11/2019,10:12 AM,10 AM
WL19001972,41.006,-73.68206,10573,M,83.01,2030,Westchester County,02/11/2019,02:41 PM,02 PM
WL19002215,40.92179,-73.85308,10704,M,24.03,2002,Westchester County,02/16/2019,02:28 PM,02 PM
WL19002393,41.15429,-73.85989,10562,M,133.04,2008,Westchester County,02/21/2019,02:06 PM,02 PM
WL19003247,40.97197,-73.86753,10710,M,9,1002,Westchester County,03/12/2019,10:38 AM,10 AM
WL19003540,40.95609,-73.71953,10543,M,74.02,2012,Westchester County,03/18/2019,12:04 PM,12 PM
WL19003737,40.91848,-73.84776,10704,M,24.03,1002,Westchester County,03/22/2019,05:49 PM,05 PM
WL19004012,40.94436,-73.85998,10701,P,17.02,2026,Westchester County,03/29/2019,04:02 PM,04 PM
WL19004326,40.93299,-73.79124,10804,M,67,4014,Westchester County,04/07/2019,12:26 PM,12 PM
WL19004496,40.96739,-73.78774,10804,M,68.01,3015,Westchester County,04/11/2019,02:27 PM,02 PM
WL19005529,41.00428,-73.67043,10573,M,80,3008,Westchester County,05/08/2019,11:34 AM,11 AM
WL19006204,40.94422,-73.86053,10701,M,17.02,1003,Westchester County,05/23/2019,11:11 AM,11 AM
WL19006263,41.00924,-73.66526,10573,M,81,4003,Westchester County,05/24/2019,10:55 AM,10 AM
WL19006278,40.91559,-73.8222,10553,M,41,3023,Westchester County,05/25/2019,07:31 AM,07 AM
WL19006302,40.94876,-73.76571,10538,M,69,2014,Westchester County,05/26/2019,05:52 PM,05 PM
WL19006523,40.954,-73.72552,10543,M,74.01,3008,Westchester County,06/03/2019,01:31 PM,01 PM
WL19007098,41.04866,-73.85479,10533,M,114.02,1047,Westchester County,06/14/2019,11:07 AM,11 AM
WL19007151,41.01079,-73.65972,10573,M,81,4007,Westchester County,06/15/2019,11:09 AM,11 AM
WL19007159,41.13583,-73.85834,10510,M,132.01,2021,Westchester County,06/15/2019,04:44 PM,04 PM
WL19007304,40.91142,-73.88905,10705,P,13.02,3000,Westchester County,06/19/2019,09:03 PM,09 PM
WL19007383,41.18485,-73.84476,10562,M,137,3004,Westchester County,06/21/2019,06:47 PM,06 PM
WL19007610,40.95516,-73.72869,10543,M,74.01,3004,Westchester County,06/27/2019,03:41 PM,03 PM
WL19007749,40.96278,-73.80429,10709,M,50.02,3013,Westchester County,07/02/2019,09:15 AM,09 AM
WL19007956,40.94618,-73.75551,10538,M,69,3015,Westchester County,07/09/2019,10:52 AM,10 AM
WL19008220,41.16097,-73.76753,10514,M,131.02,2007,Westchester County,07/16/2019,12:16 PM,12 PM
WL19008235,41.02989,-73.8665,10533,M,113,2005,Westchester County,07/16/2019,03:34 PM,03 PM
