Crimes,Spring,Summer,Autumn,Winter,ALL_SEASONS
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE,POSSESS.-",,,,,
"[GAMBLING] GAMBLING 2,PROMOTING,UNCLASSIF",,,,,
[ADMINISTRATIVE CODE] N.Y.C. TRANSIT AUTH. R&R,,,,,
"[HARRASSMENT 2] HARASSMENT,SUBD 1,CIVILIAN",,,,,
"[INTOXICATED/IMPAIRED DRIVING] INTOXICATED DRIVING,ALCOHOL",,,,,
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE,SALE 1",,,,,
"[DANGEROUS DRUGS] MARIJUANA, POSSESSION 1, 2 & 3",-0.007062169529301328,-0.008950652510885762,-0.009572310714109529,-0.005824559245893408,-0.007971307745802816
"[ROBBERY] ROBBERY,ON BUS/ OR BUS DRIVER",,,,,
[ARSON] ARSON 1,-0.0037047582611160457,-0.007303667382803662,-0.009572310714109526,-0.008768091183236537,-0.007573273071411816
"[GAMBLING] GAMBLING 2, PROMOTING, POLICY-",,,,,
"[PETIT LARCENY] LARCENY,PETIT FROM TRUCK",,,,,
"[GRAND LARCENY OF MOTOR VEHICLE] LARCENY, GRAND OF MOPED",,,,,
"[PETIT LARCENY OF MOTOR VEHICLE] LARCENY,PETIT OF AUTO",,,,,
"[PROSTITUTION & RELATED OFFENSES] PROSTITUTION 2, COMPULSORY",,,,,
[RAPE] RAPE 3,,,,,
"[BURGLARY] BURGLARY,UNKNOWN TIME",,,,,
"[HARRASSMENT 2] HARASSMENT,SUBD 3,4,5",,,,,
[MISCELLANEOUS PENAL LAW] MENACING 1ST DEGREE (VICT PEAC,,,,,
"[RAPE] RAPE 1,ATTEMPT",,,,,
[RAPE] RAPE 2,,,,,
[MISCELLANEOUS PENAL LAW] CRIMINAL CONTEMPT 1,,,,,
[THEFT-FRAUD] COMPUTER TAMPER/TRESSPASS,,,,,
"[OFF. AGNST PUB ORD SENSBLTY &] ASSEMBLY,UNLAWFUL",,,,,
[OFFENSES AGAINST PUBLIC ADMINI] ABSCONDING FROM WORK RELEASE 2,,,,,
"[ROBBERY] ROBBERY,DWELLING",,,,,
MATERIAL              OFFENSIV,0.003010064275254481,0.017401109538428088,0.0023415978268073604,6.250462879296642e-05,0.005561871183489539
"[GRAND LARCENY] LARCENY,GRAND FROM BOAT, UNATTENDED",,,,,
"[MISCELLANEOUS PENAL LAW] BRIBERY,FRAUD",,,,,
[OFFENSES AGAINST THE PERSON] RECKLESS ENDANGERMENT 2,,,,,
"[PETIT LARCENY] LARCENY,PETIT FROM COIN MACHIN",,,,,
[DANGEROUS DRUGS] POSS METH MANUFACT MATERIAL,,,,,
[CRIMINAL MISCHIEF & RELATED OF] RECKLESS ENDANGERMENT OF PROPE,,,,,
"[CRIMINAL MISCHIEF & RELATED OF] CRIMINAL MISCHIEF,UNCLASSIFIED 4",-0.015947764919951684,-0.013873131542094658,-0.01617151476559106,-0.015488032314476832,-0.015645045514375282
[OFF. AGNST PUB ORD SENSBLTY &] FALSE REPORT BOMB,,,,,
"[MISCELLANEOUS PENAL LAW] BRIBERY,PUBLIC ADMINISTRATION",,,,,
[PROSTITUTION & RELATED OFFENSES] PROSTITUTION,,,,,
"[MISCELLANEOUS PENAL LAW] FIREWORKS, POSSESS/USE",,,,,
"[GRAND LARCENY] LARCENY,GRAND PERSON,NECK CHAI",,,,,
[DANGEROUS WEAPONS] WEAPONS POSSESSION 1 & 2,,,,,
"[ARSON] ARSON 2,3,4",0.046152999904669825,0.05820426023135126,0.052474892783951295,0.044040125713263406,0.050945439032906076
[MISCELLANEOUS PENAL LAW] TERRORISM PROVIDE SUPPORT,,,,,
"[SEX CRIMES] OBSCENITY, PERFORMANCE 3",,,,,
[PETIT LARCENY] PETIT LARCENY-CHECK FROM MAILB,,,,,
"[ROBBERY] ROBBERY,POCKETBOOK/CARRIED BAG",,,,,
"[GRAND LARCENY] LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",,,,,
"[DANGEROUS WEAPONS] WEAPONS, POSSESSION, ETC",-0.00874087516339395,-0.00730366738280366,-0.009572310714109527,-0.008768091183236591,-0.008767377094584727
"[OFFENSES AGAINST PUBLIC SAFETY] FIREWORKS, SALE",,,,,
[MISCELLANEOUS PENAL LAW] BAIL JUMPING 1 & 2,,,,,
"[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF, CRIMINAL 4, BY FIRE",-0.008740875163393922,-0.008950652510885785,-0.005104595011265676,-0.007296325214564953,-0.007573273071411816
"[SEX CRIMES] SEXUAL MISCONDUCT,INTERCOURSE",,,,,
[KIDNAPPING & RELATED OFFENSES] CUSTODIAL INTERFERENCE 1,,,,,
"[BURGLARY] BURGLARY,COMMERCIAL,DAY",-0.009329043337551237,-0.006948433015064251,-0.007125314618232883,-0.0075429868042292654,-0.007835641253023736
"[PETIT LARCENY] LARCENY,PETIT FROM BOAT",,,,,
