Geoid,Spring,Summer,Autumn,Winter
36061021000,9,8,5,5
36005037800,1,4,4,2
36005004100,2,3,7,4
36005019500,7,5,5,7
36047044500,3,1,5,3
36047072400,1,1,2,3
36081147100,3,1,3,1
36047084600,0,0,2,2
36005022403,4,4,5,7
36085012806,2,3,0,3
36047111800,6,8,12,10
36047005300,6,7,8,14
36005043500,2,5,12,11
36005039000,3,1,5,7
36061016400,6,5,8,5
36005020501,7,8,24,10
36047051900,4,4,2,3
36081095400,4,0,3,6
36061017000,15,16,17,13
36061024700,7,4,16,7
36081056800,1,1,13,1
36047120800,5,9,12,4
36085031901,6,4,5,3
36047012700,9,10,12,11
36005018900,5,5,8,21
36061021703,9,1,3,1
36081080900,10,3,7,11
36081025301,2,1,3,2
36061007100,7,13,7,10
36047034200,14,11,11,13
36085012804,0,0,3,1
36047078000,1,0,0,2
36081090700,3,2,1,1
36081122701,6,14,17,13
36005048400,3,3,2,3
36005009200,4,10,2,3
36005039902,5,0,2,6
36061009700,5,2,5,4
36005008400,1,1,1,1
36061023400,10,8,14,12
36047111600,3,4,3,4
36047082600,2,1,5,2
36005051600,4,3,2,5
36005013200,3,5,5,5
36047083000,1,2,9,5
36005038500,6,5,7,7
36005022703,1,0,0,1
36005012500,3,1,1,5
36081023500,3,3,5,6
36005030100,0,0,2,3
36085024700,0,0,2,3
36005021501,0,0,2,2
36061020901,7,7,9,8
36047008400,4,2,1,2
36047043500,2,1,4,2
36061015801,2,1,2,2
36005014100,1,3,2,4
36047057800,0,1,1,1
36005021900,3,6,4,5
36047051602,1,1,2,8
36081091601,3,4,9,3
36005020000,2,5,2,6
36047123700,8,4,11,7
36047090600,3,2,3,1
36061021100,21,28,33,17
36047031900,6,5,5,11
36047116400,2,2,4,1
36005023600,1,2,3,2
36081001000,1,0,0,2
36061019100,9,8,12,6
36005042800,4,1,6,5
36047111000,4,3,3,4
36047085600,3,2,0,3
36061007200,12,2,11,3
36005020100,10,6,7,5
36005040600,3,8,7,2
36047121400,7,10,11,12
36047017900,5,6,4,4
36081103201,12,4,2,11
36081061602,1,0,0,1
36005008500,7,9,9,12
36081050000,4,1,1,3
36061006700,7,10,9,12
36005006700,7,7,9,5
36047027600,2,0,1,2
36047041402,0,0,0,2
36061002601,5,11,10,6
36005001600,1,3,2,4
36061005502,10,6,5,2
36085030301,0,1,4,4
36047043100,3,1,12,5
