Geoid,Povertyrate,Unemploymentrate,total,popu,borough
36005015100.jpg,0.254,0.11,0.02358490566037736,0.20343764104107115,0
36005037600.jpg,0.174,0.154,0.0047169811320754715,0.08078832556040319,0
36005024800.jpg,0.125,0.09699999999999999,0.007075471698113208,0.12648563261621784,0
36005023301.jpg,0.318,0.11699999999999999,0.0330188679245283,0.16462313825786068,0
36005019400.jpg,0.21600000000000003,0.125,0.0023584905660377358,0.07157364224462164,0
36005045600.jpg,0.027999999999999997,0.06,0.0,0.10892131788776892,0
36005005001.jpg,0.474,0.152,0.01650943396226415,0.17929140965849255,0
36005005002.jpg,0.442,0.12300000000000001,0.007075471698113208,0.21900857529712653,0
36005005300.jpg,0.5720000000000001,0.294,0.014150943396226415,0.17560553633217993,0
36005023000.jpg,0.276,0.08,0.01179245283018868,0.1109523093124718,0
36005013200.jpg,0.042,0.035,0.014150943396226415,0.22152850910185046,0
36005007900.jpg,0.478,0.128,0.03537735849056604,0.2532345418986009,0
36005008900.jpg,0.259,0.08900000000000001,0.0023584905660377358,0.11948999548668572,0
36005021601.jpg,0.321,0.145,0.030660377358490566,0.15819166541296825,0
36005003800.jpg,0.21899999999999997,0.14800000000000002,0.007075471698113208,0.04754024371897096,0
36005025000.jpg,0.134,0.06,0.007075471698113208,0.08962689935309162,0
36005028900.jpg,0.171,0.06,0.01179245283018868,0.16932450729652473,0
36005025300.jpg,0.292,0.094,0.007075471698113208,0.23815255002256658,0
36005017300.jpg,0.386,0.07,0.018867924528301886,0.22517677147585377,0
36005006500.jpg,0.42,0.114,0.007075471698113208,0.20072965247480065,0
36005018900.jpg,0.409,0.053,0.030660377358490566,0.2915601023017903,0
36005004300.jpg,0.414,0.171,0.03773584905660377,0.19016097487588385,0
36005011800.jpg,0.099,0.055,0.009433962264150943,0.19140213630209116,0
36005006800.jpg,0.25,0.081,0.009433962264150943,0.10895892884007823,0
36005011900.jpg,0.348,0.138,0.0047169811320754715,0.21430720625846247,0
36005008400.jpg,0.07,0.059000000000000004,0.007075471698113208,0.0892884007823078,0
36005008700.jpg,0.426,0.126,0.009433962264150943,0.20558146532270197,0
36005013500.jpg,0.33,0.08800000000000001,0.01650943396226415,0.1347600421242666,0
36005020601.jpg,0.249,0.114,0.025943396226415096,0.11471340454340304,0
36005022401.jpg,0.222,0.16,0.0023584905660377358,0.10185045885361817,0
36005023100.jpg,0.38299999999999995,0.174,0.0,0.05780803369941327,0
36005024700.jpg,0.26899999999999996,0.064,0.007075471698113208,0.0663457198736272,0
36005003900.jpg,0.316,0.096,0.0589622641509434,0.24353091620279826,0
36005020200.jpg,0.261,0.055,0.009433962264150943,0.08105160222656838,0
36005023302.jpg,0.369,0.10800000000000001,0.01179245283018868,0.1284414021363021,0
36005007100.jpg,0.225,0.10300000000000001,0.009433962264150943,0.07172408605385888,0
36005039100.jpg,0.319,0.083,0.03537735849056604,0.2629757785467128,0
36005007500.jpg,0.28600000000000003,0.098,0.07311320754716981,0.18312772679404243,0
36005021302.jpg,0.337,0.131,0.009433962264150943,0.20366330675492703,0
36005006900.jpg,0.35600000000000004,0.062,0.030660377358490566,0.2844892432676395,0
36005012101.jpg,0.297,0.067,0.0023584905660377358,0.11621784263577553,0
36005021900.jpg,0.42,0.11,0.01179245283018868,0.051414171806830146,0
36005007300.jpg,0.54,0.136,0.0047169811320754715,0.14641943734015345,0
36005041900.jpg,0.264,0.134,0.02830188679245283,0.2532721528509102,0
36005035800.jpg,0.08800000000000001,0.111,0.007075471698113208,0.2695200842485332,0
36005012701.jpg,0.467,0.019,0.01179245283018868,0.084737475552881,0
36005034200.jpg,0.16699999999999998,0.075,0.0047169811320754715,0.06299834511809839,0
36005033400.jpg,0.055999999999999994,0.182,0.014150943396226415,0.05081239656988115,0
36005024100.jpg,0.27899999999999997,0.08900000000000001,0.0330188679245283,0.2325109071761697,0
36005038200.jpg,0.24,0.14,0.018867924528301886,0.09763803219497517,0
36005009800.jpg,0.092,0.07200000000000001,0.0330188679245283,0.18948397773431624,0
36005004100.jpg,0.578,0.138,0.01650943396226415,0.2304423047991575,0
36005039400.jpg,0.278,0.13,0.02830188679245283,0.17199488491048592,0
36005021800.jpg,0.266,0.07200000000000001,0.0047169811320754715,0.24443357905822174,0
36005036800.jpg,0.175,0.10800000000000001,0.007075471698113208,0.07563562509402738,0
36005022500.jpg,0.272,0.126,0.03537735849056604,0.2895291108770874,0
36005041500.jpg,0.22,0.11,0.01650943396226415,0.2053934105611554,0
36005003100.jpg,0.203,0.048,0.0023584905660377358,0.060064690837972015,0
36005003500.jpg,0.353,0.12300000000000001,0.01179245283018868,0.1414547916353242,0
36005008500.jpg,0.379,0.141,0.02830188679245283,0.20524296675191817,0
